tax_id	taxonomy	SRR14307903	SRR14307904	SRR14307905	SRR14307906	SRR14307907	SRR14307908	SRR14307909	SRR14307914	SRR14307923	SRR14307924	SRR14307925	SRR14307926
6133	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Megasphaera;	66674	165100	15	16	21	11	17	0	114258	2166	108	29
8680	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;christensenii;	20478	7095	0	21976	0	0	0	0	9629	2338	0	0
10165	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Fastidiosipila;	22512	88817	0	0	0	0	0	10	1620	4166	37	14
10533	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;	6889	93040	2385	1398	11	0	0	0	3062	36469	58	22
6305	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;iners;	7926	114791	17	25347	20	0	36	25	181968	49	90525	192702
9810	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;vaginae;	1168	16344	0	88	0	0	101	0	2451	482	0	0
16148	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;micraerophilus;	531	15021	797	2548	0	0	0	0	2479	18744	0	0
554	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus;tetradius;	312	403	0	0	0	0	0	0	213	0	0	0
7784	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;	29	0	0	0	0	0	0	0	0	1050	0	0
65	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Parvimonas;	4204	52374	0	0	0	0	0	0	0	33492	16	0
1209	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;	13	646	128	10	0	0	0	0	599	0	0	0
8889	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;bivia;	412	9003	884	1443	0	0	0	0	0	582	0	0
9274	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;buccalis;	298	2961	0	0	0	0	0	0	92	998	0	0
2313	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium;	25	43	37	10	17	0	19	38	20	33	10	0
514	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Finegoldia;magna;	47	160	153	5700	0	0	0	0	746	626	0	207
1069	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;crispatus;	27	77	175421	25	192440	39806	130	198360	41	63	97749	31
2347	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;amnii;	18	46201	0	0	0	0	0	0	168	10132	16	0
5159	Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;vaginalis;	43	0	0	0	0	0	0	0	0	0	0	0
14347	Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;	58	0	0	0	0	0	0	0	0	0	0	0
247	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;aureus;	49	0	0	0	0	0	0	0	0	13	0	0
500	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;	19	0	0	0	0	0	0	0	0	0	0	0
368	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;epidermidis;	19	0	0	0	0	0	0	0	21	28	0	707
