#OTU ID	SRR14307903	SRR14307904	SRR14307905	SRR14307906	SRR14307907	SRR14307908	SRR14307909	SRR14307914	SRR14307923	SRR14307924	SRR14307925	SRR14307926
OTU_1	0	0	0	0	0	0	0	0	0	56	0	0
OTU_2	0	0	0	0	0	0	0	0	0	0	20	0
OTU_3	0	0	0	0	0	0	0	0	0	0	44	0
OTU_4	0	0	0	0	0	0	0	44	0	0	0	0
OTU_5	0	0	0	0	0	0	0	0	0	0	44	0
OTU_6	0	0	371	0	0	0	0	0	0	577	0	0
OTU_7	0	0	0	22	0	0	0	0	0	0	0	0
OTU_8	0	0	0	0	0	0	0	0	0	72	0	0
OTU_9	0	0	0	0	0	0	0	0	0	12	0	0
OTU_10	160	908	0	0	0	0	0	0	0	588	0	0
OTU_11	0	0	0	0	0	0	0	0	0	30	0	0
OTU_12	0	68	0	0	0	0	0	0	0	0	0	0
OTU_13	0	0	0	0	0	0	0	0	0	210	0	0
OTU_14	0	37	0	0	0	0	0	0	0	0	0	0
OTU_15	0	0	0	0	0	0	0	0	0	0	0	26
OTU_16	0	37	0	0	0	0	0	0	0	139	0	0
OTU_17	0	0	0	0	0	0	0	0	0	83	0	0
OTU_18	0	148	0	0	0	0	0	0	0	108	0	0
OTU_19	0	0	0	0	0	0	0	0	23	0	0	0
OTU_20	0	0	0	0	0	0	0	0	0	110	0	0
OTU_21	0	0	0	27	0	0	0	0	0	0	0	0
OTU_22	0	0	0	54	0	0	0	0	0	0	0	0
OTU_23	0	0	0	0	0	0	0	0	0	41	0	0
OTU_24	0	0	0	0	0	0	0	197	0	0	1917	0
OTU_25	0	0	0	0	0	0	0	0	0	56	0	0
OTU_26	0	0	0	0	0	0	0	0	0	29	0	0
OTU_27	0	0	0	0	0	0	0	0	0	44	0	0
OTU_28	0	0	0	0	0	0	0	0	41	0	0	0
OTU_29	0	0	0	0	0	0	0	0	0	86	0	0
OTU_30	0	0	0	0	0	0	0	0	0	115	0	0
OTU_31	0	0	0	0	0	0	0	0	0	35	0	0
OTU_32	0	0	0	0	0	0	0	0	0	0	17	0
OTU_33	0	0	0	0	0	0	0	0	0	1125	0	0
OTU_34	0	0	0	0	0	0	0	0	0	66	0	0
OTU_35	0	0	0	2195	193	0	0	855	0	0	3008	0
OTU_36	0	71	0	0	0	0	0	0	0	0	0	0
OTU_37	0	0	0	0	256	0	0	0	0	0	0	0
OTU_38	0	0	0	0	92	0	0	0	0	0	0	0
OTU_39	0	0	0	0	0	0	0	0	0	12	0	0
OTU_40	0	49	0	0	0	0	0	0	351	0	191	16
OTU_41	0	0	0	0	0	0	0	0	0	41	0	0
OTU_42	0	79	0	0	0	0	0	0	0	242	0	0
OTU_43	0	0	0	0	0	0	0	0	19	0	0	0
OTU_44	0	42	0	0	0	0	0	0	0	0	94	0
OTU_45	0	209	0	0	0	0	0	0	0	82	0	0
OTU_46	0	0	0	0	0	0	0	37	0	0	0	0
OTU_47	0	12	0	0	0	0	0	0	0	0	0	0
OTU_48	39	61	0	0	0	0	0	0	0	0	0	0
OTU_49	0	0	0	0	0	0	0	0	0	62	0	0
OTU_50	0	0	0	0	0	0	0	0	0	108	0	0
OTU_51	0	0	0	0	0	0	0	0	0	69	0	0
OTU_52	0	0	0	43	0	0	0	0	0	0	0	0
OTU_53	0	0	0	49	0	0	0	0	0	0	0	0
OTU_54	0	0	0	0	0	0	0	0	0	107	0	0
OTU_55	0	0	0	0	0	0	0	0	0	36	0	0
OTU_56	0	47	0	0	0	0	0	0	56	0	84	117
OTU_57	0	55	0	0	0	0	0	0	0	0	0	0
OTU_58	0	22	0	0	0	0	0	0	0	0	0	0
OTU_59	0	0	0	0	0	0	0	0	0	0	0	110
OTU_60	0	30	0	0	0	0	0	0	0	0	0	0
OTU_61	0	0	0	0	0	0	0	0	0	127	0	0
OTU_62	0	0	0	0	0	0	0	0	0	182	0	0
OTU_63	0	0	0	0	0	0	0	106	0	0	0	0
