#OTU ID	SRR14307903	SRR14307904	SRR14307905	SRR14307906	SRR14307907	SRR14307908	SRR14307909	SRR14307914	SRR14307923	SRR14307924	SRR14307925	SRR14307926
OTU_1	0	0	644	0	3048	80	0	702	0	1	254	1
OTU_2	185	3154	0	0	0	0	0	0	0	37	1	0
OTU_3	37	128	122	4635	0	0	0	0	593	514	4	169
OTU_4	0	7	0	0	0	0	0	0	2	7242	0	9
OTU_5	0	0	0	0	0	0	0	0	0	904	0	2
OTU_6	0	3	0	15	7	0	10285	0	24	1	5	0
OTU_7	0	0	269	1	2971	43	0	286	0	0	120	0
OTU_8	1	0	6182	0	2516	1338	3	6910	1	0	3032	1
OTU_9	0	0	3	0	409	0	0	5	0	0	1	0
OTU_10	0	0	0	887	1251	0	0	2053	0	0	1050	0
OTU_11	47	15	13	1	1	2	25	18	19	36	6	613
OTU_12	0	0	0	169	0	0	0	0	0	1	0	0
OTU_13	0	0	0	675	19	0	0	31	0	0	910	0
OTU_14	0	2	0	0	0	0	0	0	0	6218	0	0
OTU_15	0	141	0	0	0	0	0	0	251	0	0	0
OTU_16	0	0	0	0	0	0	0	0	0	119	0	0
OTU_17	0	4	8499	1	4124	1756	3	9219	2	2	4867	2
OTU_18	342	4318	1	1135	2	0	2	1	7192	0	3751	7710
OTU_19	0	0	0	496	0	0	0	0	0	3	0	0
OTU_20	0	0	307	0	75	52	0	337	0	0	153	0
OTU_21	0	0	2	0	413	1	0	1	0	0	0	0
OTU_22	2	2901	0	0	0	0	1	0	42	1390	0	0
OTU_23	0	0	0	0	0	0	0	0	0	1475	0	0
OTU_24	0	0	0	0	0	0	0	0	0	3142	0	0
OTU_25	1	10	0	0	0	0	0	0	1	13309	0	0
OTU_26	5	6	0	0	0	0	0	0	0	0	0	45
OTU_27	0	0	0	0	0	0	0	0	0	652	0	0
OTU_28	0	4	9481	1	6014	1939	10	9901	0	4	5189	2
OTU_29	0	0	492	0	1824	98	0	604	0	0	234	0
OTU_30	0	1	0	0	0	0	0	0	0	285	0	0
OTU_31	0	0	2064	0	602	363	0	2378	0	0	945	0
OTU_32	2215	4184	0	0	0	1	0	0	2153	84	1	0
OTU_33	0	0	1106	0	392	770	1	2013	0	0	1796	0
OTU_34	0	0	63	0	786	13	0	71	0	0	22	0
OTU_35	3	0	0	0	0	0	1514	0	0	0	0	0
OTU_36	272	3830	0	857	0	0	0	0	5627	0	2990	5625
OTU_37	0	117	0	0	0	0	0	0	3	1732	0	0
OTU_38	0	367	0	0	0	0	0	0	0	10597	0	0
OTU_39	0	0	1	0	0	0	1	0	7253	0	0	0
OTU_40	68	1360	0	203	0	0	0	0	1922	0	1026	1877
OTU_41	0	96	0	0	0	0	0	0	0	0	0	0
OTU_42	0	0	0	0	0	0	0	0	0	5652	0	0
OTU_43	10631	29551	1	2	2	1	0	0	27964	393	5	2
OTU_44	0	1	0	0	0	0	1	1	1	11431	0	0
OTU_45	0	213	0	0	0	0	0	0	1	127	0	0
OTU_46	2	1	5621	0	783	1166	1	6155	1	1	2857	0
OTU_47	0	0	564	0	210	863	0	1367	0	0	1539	0
OTU_48	0	0	211	0	2684	31	0	198	0	0	77	0
OTU_49	51	970	0	114	0	0	1	0	1245	0	714	1224
OTU_50	0	0	0	18	4	1	6626	0	23	0	8	0
OTU_51	0	0	0	32	90	0	0	169	0	0	31	0
OTU_52	1	1874	0	0	0	0	1	0	31	986	1	0
OTU_53	0	3	0	21	2	0	12200	0	30	1	4	1
OTU_54	0	0	78	0	14	64	0	146	0	0	156	0
OTU_55	0	0	0	385	0	0	0	0	0	0	0	0
OTU_56	0	0	0	0	0	0	0	0	0	314	0	0
OTU_57	6	6	10	1	0	0	0	0	0	265	0	0
OTU_58	1	1648	0	0	0	0	0	0	117	821	0	0
OTU_59	0	0	0	0	0	0	63	0	0	0	0	0
OTU_60	0	1041	0	0	0	0	1	0	15	516	0	0
OTU_61	1	0	0	0	0	0	782	0	0	0	0	0
OTU_62	0	0	0	0	0	0	0	0	0	394	0	0
OTU_63	0	7	1	0	0	0	0	0	0	16584	1	0
OTU_64	0	0	0	0	0	0	1169	0	0	0	1	0
OTU_65	36	648	0	153	0	0	0	0	885	0	488	916
OTU_66	0	1	0	0	0	0	0	0	1101	1	0	0
OTU_67	0	0	0	0	0	0	0	0	0	3308	0	10
