#OTU ID	SRR14307903	SRR14307904	SRR14307905	SRR14307906	SRR14307907	SRR14307908	SRR14307909	SRR14307914	SRR14307923	SRR14307924	SRR14307925	SRR14307926
OTU_1	0	0	0	3498	0	0	0	0	0	0	0	0
OTU_2	4625	60542	1584	0	0	0	0	0	1986	29893	0	0
OTU_3	0	0	0	0	0	0	486	0	0	0	0	0
OTU_4	0	125	0	17	0	0	0	0	0	0	0	0
OTU_5	0	284	0	0	0	0	0	0	0	0	0	0
OTU_6	0	38	0	0	0	0	0	0	0	0	0	0
OTU_7	0	22	0	0	0	0	0	0	0	0	0	0
OTU_8	0	0	223	0	0	0	0	0	0	326	0	0
OTU_9	0	0	0	0	0	0	14	0	0	0	0	0
OTU_10	39716	106211	0	0	0	0	0	0	72858	1293	0	0
OTU_11	0	62	0	0	0	0	0	0	0	0	0	0
OTU_12	0	139	0	0	0	0	0	0	0	0	0	0
OTU_13	0	198	0	0	0	0	0	0	47	0	0	0
OTU_14	0	0	0	0	0	0	15	0	0	0	0	15
OTU_15	166	237	0	0	0	0	0	0	118	0	0	0
OTU_16	0	1676	0	355	0	0	0	0	373	422	0	0
OTU_17	0	0	1480	0	0	0	0	0	0	2158	0	0
OTU_18	0	0	0	0	0	0	0	0	0	16	0	0
OTU_19	0	0	0	0	0	0	883	0	0	0	0	0
OTU_20	0	0	0	186	0	0	0	0	1089	0	0	0
OTU_21	0	0	0	0	0	0	0	0	0	402	0	0
OTU_22	0	0	0	0	0	0	0	0	0	1443	0	0
OTU_23	0	81	98	3969	0	0	0	0	399	385	0	116
OTU_24	0	0	0	0	0	0	0	0	0	9132	0	0
OTU_25	0	10	0	0	0	0	0	0	0	0	0	0
OTU_26	0	406	0	0	0	0	0	0	0	0	0	0
OTU_27	0	0	0	0	0	0	0	0	0	5504	0	0
OTU_28	0	0	0	0	0	0	0	0	0	40	0	0
OTU_29	0	0	0	0	0	0	0	0	90	0	0	0
OTU_30	0	0	0	0	0	0	3249	0	0	0	0	0
OTU_31	0	0	0	0	0	0	0	0	0	11438	0	0
