#OTU ID	SRR14307903	SRR14307904	SRR14307905	SRR14307906	SRR14307907	SRR14307908	SRR14307909	SRR14307914	SRR14307923	SRR14307924	SRR14307925	SRR14307926
OTU_1	0	67	3	1115	1	0	0	0	7	301	1	1
OTU_2	1	5	0	0	0	2	2	0	0	51	1	4
OTU_3	0	1	0	0	0	0	0	0	1102	0	0	0
OTU_4	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5	0	0	0	0	0	0	0	0	0	848	0	0
OTU_6	0	608	304	77	0	0	0	0	5	112	1	0
OTU_7	1	2	0	0	0	0	0	0	0	6502	0	1
OTU_8	6	4	0	3	1	0	9	10	1	8	0	1
OTU_9	0	0	290	0	0	0	0	0	0	0	0	1
OTU_10	0	2	0	6	10	0	23303	0	17	2	13	0
OTU_11	3437	43327	1	0	2	0	2	1	1	2357	4	4
OTU_12	4	61	1	0	0	1	6	8	3	30	1	0
OTU_13	16	38548	1	1	0	0	1	0	135	8359	5	1
OTU_14	10	8	0	0	0	0	0	0	0	0	0	0
OTU_15	3870	59685	5	12452	3	4	7	3	89308	15	46347	92851
OTU_16	0	3	0	0	0	0	4	0	0	15412	0	0
OTU_17	16	295	0	0	0	0	0	0	82	18	0	0
OTU_18	0	0	0	0	0	0	0	0	0	0	0	22
OTU_19	0	0	0	0	0	0	0	0	0	0	0	24
OTU_20	0	3699	0	0	0	0	1	0	0	0	0	0
OTU_21	0	2	0	0	0	1	0	1	1	25739	0	0
OTU_22	6	5	10	1	0	0	0	0	0	270	0	0
OTU_23	5	22248	0	4	0	0	6	1	527	17267	3	3
OTU_24	0	0	0	0	0	0	0	0	0	3762	0	0
OTU_25	2	20	0	4	0	0	0	0	20	0	14	20
OTU_26	926	13247	1	73	0	0	73	0	2178	397	3	0
OTU_27	6	21148	7	40	0	0	0	0	906	5480	2	2
OTU_28	20	18673	608	2701	0	1	0	0	2215	6735	2	75
OTU_29	0	0	0	0	0	0	0	1	0	786	0	0
OTU_30	0	1	0	2980	1931	0	0	3131	0	0	3397	0
OTU_31	5	10	3	0	0	3	3	1	1	0	1	0
OTU_32	0	0	0	0	0	0	0	0	0	506	0	0
OTU_33	256	325	0	2	0	0	0	0	180	6	1	6
OTU_34	2670	8413	1	0	2	0	0	0	9330	59	2	2
OTU_35	246	2368	0	0	0	0	0	0	79	731	2	0
OTU_36	7	3	7	6	0	0	4	4	3	10	5	2
OTU_37	0	0	0	0	0	0	0	0	0	0	0	0
OTU_38	51556	127148	6	8	12	5	9	0	82733	1686	33	13
OTU_39	15	146	15	0	1	0	0	0	4	88	0	0
OTU_40	0	39	4	2	3	1	4	2	8	154372	4	6
OTU_41	0	0	0	0	0	0	0	0	0	336	0	0
OTU_42	0	0	0	0	0	0	0	0	0	0	0	0
OTU_43	6	0	0	0	1	0	0	0	2	11	0	1
OTU_44	0	8	0	0	0	0	0	0	3	2546	0	0
OTU_45	0	275	0	1	0	0	0	0	214	0	0	0
OTU_46	0	1	0	0	0	0	1	0	0	10859	0	2
OTU_47	0	129	0	0	0	0	0	0	16	551	0	0
OTU_48	1	10	0	0	0	0	0	0	1	13566	0	0
OTU_49	0	4	0	0	0	0	6	1	0	33	0	1
OTU_50	0	0	4	9	0	0	0	0	0	1	0	0
OTU_51	0	85	0	0	0	0	0	0	0	0	0	0
OTU_52	0	7	7570	1	7107	1484	8	7784	2	5	3913	1
OTU_53	0	0	0	0	0	0	1	0	0	2	0	11
OTU_54	0	26	0	0	0	0	0	0	2	71	0	0
OTU_55	0	1	0	4708	0	0	0	0	0	23	1	7
OTU_56	0	40	0	0	0	0	0	0	0	525	0	0
OTU_57	0	1	0	0	0	0	1	0	0	1035	0	0
