#OTU ID	SRR14307903	SRR14307904	SRR14307905	SRR14307906	SRR14307907	SRR14307908	SRR14307909	SRR14307914	SRR14307923	SRR14307924	SRR14307925	SRR14307926
OTU_1	0	18	0	0	0	0	12	18	0	0	0	0
OTU_2	0	0	0	0	0	0	0	0	0	1451	0	0
OTU_3	0	321	0	0	0	0	0	0	0	0	0	0
OTU_4	648	9008	0	40	0	0	45	0	1378	281	0	0
OTU_5	0	0	0	0	0	0	0	0	0	5489	0	0
OTU_6	0	0	0	0	0	0	0	0	0	699	0	0
OTU_7	166	238	0	0	0	0	0	0	118	0	0	0
OTU_8	0	0	0	117	32	0	129509	0	169	0	83	0
OTU_9	0	0	1483	0	0	0	0	0	0	2184	0	0
OTU_10	0	1956	0	0	0	0	0	0	0	0	0	0
OTU_11	0	139	0	0	0	0	0	0	0	0	0	0
OTU_12	0	18645	0	0	0	0	0	0	403	14941	0	0
OTU_13	0	0	0	0	0	0	0	0	0	6928	0	0
OTU_14	237	5508	548	920	0	0	0	0	0	314	0	0
OTU_15	0	0	0	0	0	0	0	0	0	75	0	0
OTU_16	0	61	0	0	0	0	0	0	0	0	0	0
OTU_17	0	0	0	0	0	0	0	0	0	973	0	0
OTU_18	0	153	0	0	0	0	0	0	75	0	0	0
OTU_19	0	303	0	0	0	0	0	0	0	1334	0	0
OTU_20	0	0	224	0	0	0	0	0	0	327	0	0
OTU_21	0	0	0	0	0	0	0	0	0	63	0	61
OTU_22	0	0	0	0	0	0	0	0	0	142	0	0
OTU_23	0	0	0	0	0	0	0	0	0	9133	0	0
OTU_24	0	30327	0	0	0	0	0	0	103	6702	0	0
OTU_25	0	0	0	0	0	0	0	0	0	0	0	11
OTU_26	0	0	0	0	0	0	0	0	0	207	0	0
OTU_27	0	0	0	0	0	0	0	0	0	18	0	0
OTU_28	0	18007	0	21	0	0	0	0	707	4027	0	0
OTU_29	2941	34810	0	0	0	0	0	0	0	1897	0	0
OTU_30	0	25	115943	0	145325	24138	36	63413	0	22	58009	0
OTU_31	39855	106662	0	0	0	0	0	0	72928	1302	0	0
OTU_32	24	81	98	3950	0	0	0	0	398	386	0	115
OTU_33	0	29	0	0	0	0	0	0	0	137195	0	0
OTU_34	0	0	0	187	0	0	0	0	1090	0	0	0
OTU_35	13730	59910	0	0	0	0	0	0	1064	2782	0	0
OTU_36	0	0	0	0	0	0	0	0	0	0	0	16
OTU_37	0	0	228	729	0	0	0	0	0	0	0	129
OTU_38	0	0	0	0	0	0	0	0	0	238	0	0
OTU_39	0	17940	0	0	0	0	0	0	1136	8970	0	0
OTU_40	0	0	0	0	0	0	0	0	0	11514	0	0
OTU_41	0	17	0	0	0	0	0	0	0	43	0	0
OTU_42	0	0	11	0	0	0	0	0	0	0	0	0
OTU_43	0	0	0	0	0	0	0	0	0	215	0	0
OTU_44	0	0	0	0	0	0	11	0	0	26	0	437
OTU_45	0	0	0	0	0	0	0	0	0	20237	0	0
OTU_46	0	0	0	0	0	0	0	0	0	188	0	0
OTU_47	0	0	0	0	0	0	0	0	0	2764	0	0
OTU_48	0	0	0	0	0	0	0	0	0	560	0	0
OTU_49	0	0	0	0	0	0	0	0	0	305	0	0
OTU_50	0	0	58	0	0	0	0	0	0	0	0	0
OTU_51	0	0	0	12	0	0	0	0	0	0	0	0
OTU_52	0	273	0	0	0	0	0	0	0	9162	0	0
OTU_53	0	0	0	0	0	0	0	0	5676	0	0	0
OTU_54	0	0	0	0	0	0	0	67	0	0	1405	0
OTU_55	0	408	0	0	0	0	0	0	0	0	0	0
OTU_56	0	0	0	0	0	0	3249	0	0	0	0	0
OTU_57	0	0	0	0	0	0	0	0	0	0	0	24
OTU_58	0	0	0	0	0	0	0	0	0	12511	0	0
OTU_59	15	0	0	0	0	0	0	0	0	0	0	0
OTU_60	13542	4762	0	13908	0	0	0	0	6477	1453	0	0
OTU_61	60	0	0	0	0	0	0	0	0	0	0	0
OTU_62	0	0	0	0	0	0	0	0	0	26	0	0
OTU_63	0	0	0	0	0	0	0	0	870	0	0	0
OTU_64	0	40	0	929	0	0	0	0	0	187	0	0
OTU_65	4657	60519	1594	0	0	0	0	0	2015	29577	0	0
OTU_66	0	0	0	0	0	0	0	0	0	551	0	0
OTU_67	0	24	0	0	0	0	0	0	0	22945	0	25
OTU_68	0	0	0	296	0	0	0	0	0	0	0	0
OTU_69	0	15907	192	2231	0	0	0	0	1837	3122	0	48
OTU_70	325	10757	389	1752	0	0	0	0	1522	12854	0	0
OTU_71	0	0	0	0	0	0	880	0	0	0	0	0
OTU_72	0	197	0	0	0	0	0	0	47	0	0	0
OTU_73	0	0	0	0	0	0	0	0	0	601	0	0
OTU_74	0	1701	0	0	0	0	0	0	0	3549	0	0
OTU_75	147	1499	0	0	0	0	0	0	40	485	0	0
OTU_76	0	10	0	0	0	0	0	0	0	0	0	0
OTU_77	0	124	0	17	0	0	0	0	0	0	0	0
OTU_78	0	0	0	0	0	0	0	0	0	37	0	0
OTU_79	0	0	0	0	0	0	0	0	0	0	0	10
OTU_80	0	0	0	0	0	0	0	0	0	0	0	32
OTU_81	0	349	208	47	0	0	0	0	0	70	0	0
OTU_82	0	0	0	0	0	0	0	0	0	13898	0	0
OTU_83	0	0	198	0	0	0	0	0	0	0	0	0
OTU_84	0	0	0	0	0	0	482	0	0	0	0	0
OTU_85	0	32	0	0	0	0	0	0	0	0	0	0
OTU_86	0	0	0	0	0	0	0	0	0	10892	0	0
OTU_87	0	0	0	0	0	0	0	0	0	12	0	0
OTU_88	43	33	37	11	0	0	0	0	0	0	0	0
OTU_89	0	0	0	3509	0	0	0	0	0	0	0	0
OTU_90	0	0	0	0	0	0	0	0	0	400	0	0
OTU_91	0	0	0	0	0	0	0	0	0	789	0	0
OTU_92	5268	77588	0	17212	0	0	0	0	120630	15	55923	125588
OTU_93	0	3100	0	0	0	0	0	0	0	0	0	0
OTU_94	0	0	0	0	0	0	0	0	0	2010	0	0
OTU_95	0	89	0	0	0	0	0	0	0	1331	0	0
OTU_96	0	75	0	0	0	0	0	0	0	447	0	0
OTU_97	0	0	0	0	0	0	0	0	0	23	0	0
OTU_98	0	61	0	0	0	0	0	0	0	0	0	0
OTU_99	0	0	0	2324	1500	0	0	2605	0	0	2226	0
OTU_100	0	0	0	0	0	0	15	0	0	0	0	15
