#OTU ID	SRR14307903	SRR14307904	SRR14307905	SRR14307906	SRR14307907	SRR14307908	SRR14307909	SRR14307914	SRR14307923	SRR14307924	SRR14307925	SRR14307926
OTU_1	2	6	279	904	0	0	0	0	0	9	1	116
OTU_2	0	1	0	2927	1940	0	0	3170	0	0	3335	0
OTU_3	16	38678	1	1	0	0	1	0	132	8343	6	1
OTU_4	3	2	0	0	0	0	0	0	0	314	0	0
OTU_5	7	0	0	0	0	0	3979	0	0	0	0	0
OTU_6	0	0	0	0	0	0	0	0	0	2142	0	0
OTU_7	0	417	0	0	0	0	0	0	0	0	0	0
OTU_8	316	7324	698	1145	0	0	0	0	1	468	1	0
OTU_9	0	0	0	9	0	0	0	0	1	8527	0	47
OTU_10	4	2	5	4	0	0	3	3	3	10	4	1
OTU_11	0	374	0	0	0	0	0	0	0	12080	0	0
OTU_12	0	0	0	524	0	0	0	0	0	0	0	0
OTU_13	18	17770	597	2807	0	1	0	0	2137	6741	2	76
OTU_14	0	0	0	0	0	0	1178	0	0	0	1	0
OTU_15	0	3	0	0	0	0	4	0	0	15359	0	0
OTU_16	0	1	0	0	0	0	1	0	0	10857	0	2
OTU_17	0	273	0	1	0	0	0	0	212	0	0	0
OTU_18	0	444	0	0	0	0	0	0	4	1826	0	0
OTU_19	0	18	0	0	0	0	0	0	0	0	0	0
OTU_20	3437	43266	1	0	2	0	2	1	1	2351	3	4
OTU_21	429	12316	644	2076	0	0	1	2	2007	15234	1	0
OTU_22	0	0	0	284	0	0	0	0	1400	0	0	0
OTU_23	0	8	0	0	0	0	0	0	3	2546	0	0
OTU_24	0	67	3	1115	1	0	0	0	7	301	1	1
OTU_25	0	0	0	0	0	0	0	0	0	0	0	0
OTU_26	0	0	0	0	0	0	0	0	0	853	0	0
OTU_27	0	608	304	77	0	0	0	0	5	112	1	0
OTU_28	6	3	0	3	1	0	9	10	1	8	0	1
OTU_29	0	0	0	0	0	0	0	0	0	3762	0	0
OTU_30	0	0	290	0	0	0	0	0	0	0	0	1
OTU_31	0	0	0	0	1	0	1480	0	3	0	1	0
OTU_32	0	0	0	0	0	0	1	162	0	0	1821	0
OTU_33	0	527	0	0	0	0	0	0	0	0	0	0
OTU_34	0	0	0	0	0	0	0	0	0	0	0	0
OTU_35	6	0	0	0	1	0	0	0	2	11	0	1
OTU_36	0	1	0	4703	0	0	0	0	0	22	1	7
OTU_37	6	6	10	1	0	0	0	0	0	265	0	0
OTU_38	0	8	0	11	0	0	1	1	9	16914	1	6
OTU_39	0	0	0	0	0	0	0	1	0	786	0	0
OTU_40	5	6	1	0	0	0	0	1	0	0	1	0
OTU_41	77	1	0	0	0	0	7	0	6	0	0	0
OTU_42	925	13206	1	73	0	0	73	0	2175	397	3	0
OTU_43	0	0	0	0	0	0	0	0	0	0	0	0
OTU_44	6	21331	7	42	0	0	0	0	906	5562	2	2
OTU_45	1	5	0	0	0	2	2	0	0	53	1	4
OTU_46	4	3	0	0	0	0	0	0	0	17961	0	21
OTU_47	0	0	0	0	0	0	0	0	1102	1	0	0
OTU_48	0	3	420	0	0	0	0	0	0	578	0	0
OTU_49	0	36	0	0	0	0	1	0	22	28050	1	44
OTU_50	5551	74724	1938	2	4	2	3	5	2471	29521	18	3
OTU_51	0	128	0	0	0	0	0	0	3	1732	0	0
OTU_52	0	130	0	0	0	0	0	0	16	554	0	0
OTU_53	1	10	0	0	0	0	0	0	1	13540	0	0
OTU_54	0	4	1	0	0	0	7	0	0	34	0	1
OTU_55	0	0	4	9	0	0	0	0	0	1	0	0
OTU_56	0	9	1637	0	0	0	0	0	1	2827	0	0
OTU_57	0	85	0	0	0	0	0	0	0	0	0	0
OTU_58	54646	136316	6	8	16	5	9	0	92580	1740	35	15
OTU_59	19	43	141949	11	152770	32639	86	160252	17	35	79801	21
OTU_60	0	0	0	0	0	0	0	0	0	0	0	7
OTU_61	16	296	0	0	0	0	0	0	80	18	0	0
OTU_62	33	66	67	17	6	1	6	7	3	34	4	13
OTU_63	22	21157	0	0	0	0	2	0	1498	10133	3	1
OTU_64	0	40	0	0	0	0	0	0	0	524	0	0
OTU_65	0	1	0	0	0	0	1	0	0	1035	0	0
OTU_66	0	24	0	0	0	0	0	0	2	72	0	0
OTU_67	7	25	16	6	6	0	14	15	10	15	3	4
OTU_68	17	163	15	0	1	0	0	0	3	87	0	0
OTU_69	5	22185	0	4	0	0	6	1	526	17200	2	3
OTU_70	0	0	0	0	0	0	0	0	0	336	0	0
OTU_71	0	2133	0	0	0	0	0	0	1	4598	0	0
OTU_72	9	8	10	4	7	0	3	13	8	16	6	5
OTU_73	0	0	0	0	0	0	0	0	11	0	0	0
OTU_74	0	0	2	0	0	0	0	0	0	387	0	0
OTU_75	0	0	0	0	0	0	0	0	0	15	0	0
OTU_76	0	0	99	0	0	0	0	0	0	0	0	0
OTU_77	0	20	0	17	0	0	0	0	8	0	0	0
OTU_78	0	41	4	2	3	1	5	2	9	166585	4	6
OTU_79	4	64	2	0	0	4	7	9	4	29	1	0
OTU_80	0	0	1	0	0	0	1	0	7286	0	0	0
OTU_81	10	8	0	0	0	0	0	0	0	0	0	0
OTU_82	38	130	124	4705	0	0	0	0	604	519	5	170
OTU_83	0	3	0	3	0	0	0	0	0	234	0	0
OTU_84	0	183	0	32	0	0	0	0	0	0	0	1
OTU_85	16668	5809	0	17854	0	0	0	0	7804	1899	0	0
OTU_86	0	1	0	0	0	0	0	0	0	1	0	17
OTU_87	0	0	0	0	0	0	0	0	0	909	0	2
OTU_88	0	4	0	0	0	0	0	0	0	110	0	102
OTU_89	24	0	0	0	0	0	0	0	0	0	0	0
OTU_90	0	2	0	0	0	1	0	1	1	25751	0	0
OTU_91	1	2	0	0	0	0	0	0	0	6476	0	1
OTU_92	0	0	0	0	0	0	0	0	0	107	0	0
OTU_93	0	97	0	0	0	0	0	0	0	0	0	0
OTU_94	0	0	0	0	0	0	0	0	0	1200	0	0
OTU_95	0	0	0	0	0	0	0	0	0	506	0	0
OTU_96	254	329	0	2	0	0	0	0	178	6	1	6
OTU_97	5	10	4	0	1	0	27	1	3	10	8	17
OTU_98	246	2368	0	0	0	0	0	0	79	731	2	0
OTU_99	0	0	0	1	0	0	0	0	0	1033	0	0
OTU_100	3	17	2	172	78	3	201948	10	270	13	124	7
OTU_101	47	15	13	1	1	2	27	21	20	35	6	585
OTU_102	0	193	0	0	0	0	0	0	3	1	0	0
OTU_103	6420	93414	8	20843	7	6	20	10	144995	30	73679	153422
OTU_104	0	3699	0	0	0	0	1	0	0	0	0	0
OTU_105	18652	72925	0	0	2	0	2	3	1304	3441	10	7
OTU_106	0	0	0	0	0	0	0	0	0	0	0	22
OTU_107	0	0	0	0	0	0	0	0	0	0	0	24
