#OTU ID	SRR14307903	SRR14307904	SRR14307905	SRR14307906	SRR14307907	SRR14307908	SRR14307909	SRR14307914	SRR14307923	SRR14307924	SRR14307925	SRR14307926
OTU_1	0	0	311	1007	0	0	0	0	0	0	0	178
OTU_2	0	0	0	3281	2090	0	0	3409	0	0	3715	0
OTU_3	15	39114	0	0	0	0	0	0	150	8871	0	0
OTU_4	0	0	0	0	0	0	0	0	0	331	0	0
OTU_5	0	0	0	0	0	0	4239	0	0	0	0	0
OTU_6	0	0	0	0	0	0	0	0	0	2310	0	0
OTU_7	0	456	0	0	0	0	0	0	0	0	0	0
OTU_8	367	8067	772	1271	0	0	0	0	0	518	0	0
OTU_9	0	0	0	0	0	0	0	0	0	9224	0	0
OTU_10	0	0	0	0	0	0	0	0	0	13	0	0
OTU_11	0	419	0	0	0	0	0	0	0	12928	0	0
OTU_12	0	0	0	580	0	0	0	0	0	0	0	0
OTU_13	16	20416	620	2996	0	0	0	0	2436	7247	0	85
OTU_14	0	0	0	0	0	0	1291	0	0	0	0	0
OTU_15	0	0	0	0	0	0	0	0	0	16300	0	0
OTU_16	0	0	0	0	0	0	0	0	0	11878	0	0
OTU_17	0	297	0	0	0	0	0	0	219	0	0	0
OTU_18	0	506	0	0	0	0	0	0	0	1987	0	0
OTU_19	0	18	0	0	0	0	0	0	0	0	0	0
OTU_20	3682	44273	0	0	0	0	0	0	0	2445	0	0
OTU_21	487	13555	709	2317	0	0	0	0	2236	16325	0	0
OTU_22	0	0	0	318	0	0	0	0	1569	0	0	0
OTU_23	0	0	0	0	0	0	0	0	0	2692	0	0
OTU_24	0	78	0	1240	0	0	0	0	0	330	0	0
OTU_25	0	0	0	12	0	0	0	0	0	0	0	0
OTU_26	0	0	0	0	0	0	0	0	0	918	0	0
OTU_27	0	662	335	85	0	0	0	0	0	118	0	0
OTU_28	0	0	0	0	0	0	0	0	0	12	0	0
OTU_29	0	0	0	0	0	0	0	0	0	4061	0	0
OTU_30	0	0	324	0	0	0	0	0	0	0	0	0
OTU_31	0	0	0	0	0	0	406	0	0	0	0	0
OTU_32	0	0	0	0	0	0	0	180	0	0	1989	0
OTU_33	0	583	0	0	0	0	0	0	0	0	0	0
OTU_34	0	0	0	0	0	0	0	0	0	0	0	10
OTU_35	0	0	0	0	0	0	0	0	0	14	0	0
OTU_36	0	0	0	5119	0	0	0	0	0	0	0	0
OTU_37	0	0	0	0	0	0	0	0	0	278	0	0
OTU_38	0	0	0	0	0	0	0	0	0	18290	0	0
OTU_39	0	0	0	0	0	0	0	0	0	832	0	0
OTU_40	16	0	0	0	0	0	0	0	0	0	0	0
OTU_41	97	0	0	0	0	0	0	0	0	0	0	0
OTU_42	1005	14289	0	72	0	0	76	0	2323	410	0	0
OTU_43	0	0	0	0	0	0	0	0	31	0	0	0
OTU_44	0	23156	0	49	0	0	0	0	997	6085	0	0
OTU_45	0	0	0	0	0	0	0	0	0	56	0	0
OTU_46	0	0	0	0	0	0	0	0	0	19189	0	0
OTU_47	0	0	0	0	0	0	0	0	1184	0	0	0
OTU_48	0	0	335	0	0	0	0	0	0	542	0	0
OTU_49	0	44	0	0	0	0	0	0	0	30277	0	48
OTU_50	6272	81094	2153	0	0	0	0	0	2800	32483	14	0
OTU_51	0	131	0	0	0	0	0	0	0	1904	0	0
OTU_52	0	141	0	0	0	0	0	0	0	680	0	0
OTU_53	0	12	0	0	0	0	0	0	0	14418	0	0
OTU_54	0	0	0	0	0	0	0	0	0	65	0	0
OTU_55	0	0	0	10	0	0	0	0	0	0	0	0
OTU_56	0	11	1989	0	0	0	0	0	0	3259	0	0
OTU_57	0	92	0	0	0	0	0	0	0	0	0	0
OTU_58	58924	144934	0	0	18	0	10	0	100736	1908	28	13
OTU_59	18	38	136997	0	162085	31979	87	172296	0	30	83216	0
OTU_60	0	0	0	0	0	0	0	0	0	0	0	64
OTU_61	16	313	0	0	0	0	0	0	97	15	0	0
OTU_62	0	91	83	19	0	0	0	0	0	0	0	0
OTU_63	0	22715	0	0	0	0	0	0	1663	10824	0	0
OTU_64	0	0	0	0	0	0	0	0	0	552	0	0
OTU_65	0	0	0	0	0	0	0	0	0	1134	0	0
OTU_66	0	27	0	0	0	0	0	0	0	82	0	0
OTU_67	0	32	0	0	0	0	19	0	0	0	0	0
OTU_68	0	0	12	0	0	0	0	0	0	0	0	0
OTU_69	0	23667	0	0	0	0	0	0	539	18020	0	0
OTU_70	0	0	0	0	0	0	0	0	0	366	0	0
OTU_71	0	2327	0	0	0	0	0	0	0	4960	0	0
OTU_72	0	0	0	0	0	0	0	37	0	33	0	0
OTU_73	0	0	0	0	0	0	0	0	15	0	0	0
OTU_74	0	0	0	0	0	0	0	0	0	404	0	0
OTU_75	0	0	0	0	0	0	0	0	0	11	0	0
OTU_76	0	0	102	0	0	0	0	0	0	0	0	0
OTU_77	0	0	0	17	0	0	0	0	10	0	0	0
OTU_78	0	45	0	0	0	0	0	0	0	172458	0	0
OTU_79	0	94	0	0	0	0	0	0	0	0	0	0
OTU_80	0	0	0	0	0	0	0	0	8064	0	0	0
OTU_81	0	12	0	0	0	0	0	0	0	0	0	0
OTU_82	41	143	140	5184	0	0	0	0	658	568	0	190
OTU_83	0	0	0	0	0	0	0	0	0	255	0	0
OTU_84	0	206	0	0	0	0	0	0	0	0	0	0
OTU_85	18336	6381	0	19634	0	0	0	0	8485	2072	0	0
OTU_86	0	0	0	0	0	0	0	0	0	0	0	17
OTU_87	0	0	0	0	0	0	0	0	0	975	0	0
OTU_88	0	0	0	0	0	0	0	0	0	136	0	134
OTU_89	28	0	0	0	0	0	0	0	0	0	0	0
OTU_90	0	0	0	0	0	0	0	0	0	27683	0	0
OTU_91	0	0	0	0	0	0	0	0	0	7101	0	0
OTU_92	0	0	0	0	0	0	0	0	0	114	0	0
OTU_93	0	104	0	0	0	0	0	0	0	0	0	0
OTU_94	0	0	0	0	0	0	0	0	0	1329	0	0
OTU_95	0	0	0	0	0	0	0	0	0	554	0	0
OTU_96	289	387	0	0	0	0	0	0	192	0	0	0
OTU_97	0	13	0	0	0	0	33	0	0	10	0	18
OTU_98	274	2555	0	0	0	0	0	0	85	860	0	0
OTU_99	0	0	0	0	0	0	0	0	0	1113	0	0
