#OTU ID	NXT031_YAN_001	NXT031_YAN_002	NXT031_YAN_003	NXT031_YAN_004	NXT031_YAN_005	NXT031_YAN_006	NXT031_YAN_007	NXT031_YAN_008	NXT031_YAN_009	NXT031_YAN_010	NXT031_YAN_011	NXT031_YAN_012	NXT031_YAN_013	NXT031_YAN_014	NXT031_YAN_015	NXT031_YAN_016	NXT031_YAN_017	NXT031_YAN_018	NXT031_YAN_019	NXT031_YAN_020	NXT031_YAN_021	NXT031_YAN_022	NXT031_YAN_023	NXT031_YAN_025	NXT031_YAN_026	NXT031_YAN_027	NXT031_YAN_028	NXT031_YAN_029	NXT031_YAN_030	NXT031_YAN_031	NXT031_YAN_032	NXT031_YAN_033	NXT031_YAN_034	NXT031_YAN_035	NXT031_YAN_036	NXT031_YAN_037	NXT031_YAN_038	NXT031_YAN_039	NXT031_YAN_040	NXT031_YAN_041	NXT031_YAN_042	NXT031_YAN_043	NXT031_YAN_044	NXT031_YAN_045	NXT031_YAN_046	NXT031_YAN_047	NXT031_YAN_049	NXT031_YAN_050	NXT031_YAN_051	NXT031_YAN_052	NXT031_YAN_053	NXT031_YAN_054	NXT031_YAN_055	NXT031_YAN_056	NXT031_YAN_057	NXT031_YAN_058	NXT031_YAN_059	NXT031_YAN_061	NXT031_YAN_062	NXT031_YAN_063	NXT031_YAN_064	NXT031_YAN_065	NXT031_YAN_066	NXT031_YAN_067	NXT031_YAN_068	NXT031_YAN_069	NXT031_YAN_070	NXT031_YAN_071	NXT031_YAN_072	NXT031_YAN_073	NXT031_YAN_074	NXT031_YAN_075	NXT031_YAN_076	NXT031_YAN_077	NXT031_YAN_078	NXT031_YAN_079	NXT031_YAN_080	NXT031_YAN_081	NXT031_YAN_082	NXT031_YAN_083	NXT031_YAN_084	NXT031_YAN_085	NXT031_YAN_086	NXT031_YAN_087	NXT031_YAN_088	NXT031_YAN_089	NXT031_YAN_090	NXT031_YAN_091	NXT031_YAN_092	NXT031_YAN_093	NXT031_YAN_094	NXT031_YAN_095
zOTU_1	9391	2573	3471	2245	8849	392	1497	5385	2713	2280	337	1	1525	1192	1870	1651	272	4685	10446	2521	3630	7608	1434	7125	2119	2759	4319	1060	1197	1250	1230	3911	11104	816	1	583	1646	378	1885	4530	459	5245	1708	12	12066	799	2157	18	384	845	4400	105	940	14906	167	64	409	8150	6210	5076	1146	3462	1748	9992	520	2965	2752	3549	0	3838	404	2668	1646	164	2110	3762	7672	1253	4709	322	0	11636	2525	118	4087	6343	466	2386	6196	6509	3029	2915
zOTU_10	28	1	11	4	22	2	0	13	283	3	4	0	1	3	3229	1	0	22	0	47	189	49	247	2	1	4	0	0	0	1	0	6	0	695	0	581	15	47	231	1	179	0	17	2	753	6717	3	12	33	181	8	5	63	1	24	0	13	5	0	1	0	14	2	5	3	9	1	15	0	2	3	101	18	0	1	61	246	144	4	7487	0	12	12	16	0	3	25	0	2	0	8	7346
zOTU_100	1	1	16	36	11	0	0	3	104	112	116	0	6	0	31	18	24	0	67	0	1	0	425	0	5	7	0	2	0	0	0	6	0	1710	0	0	0	0	13	19	0	9	0	1331	178	49	11	3	28	14	7	152	52	418	113	737	0	5	302	5	32	0	1	458	0	0	164	1	0	0	3	1	9	5	0	117	4	1	2	199	0	0	0	1	134	101	3	17	14	18	0	306
zOTU_1000	6	3	1	2	5	4	13	0	0	6	52	0	3	0	17	10	0	0	1	7	9	1	40	4	6	7	3	10	7	5	20	11	6	81	0	0	10	46	14	1	8	2	7	4	8	9	13	24	3	44	17	1	7	0	0	73	10	8	8	1	1	5	6	1	7	12	0	14	0	22	1	8	9	30	26	15	2	7	3	22	0	10	16	12	2	6	16	6	2	1	9	20
zOTU_10004	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	1	0	8	0	3	0	3	0	3	0	0	2	2	0	0	3	1	1	15	1	0	0	0	0	5	3	0	2	1	0	8	0	0	1	0	2	0	2	0	3	1	1	0	0	0	2	1	5	0	3	1	0	7	0	4	0	0	4	0	4	0	0	1	0	1	0	0
zOTU_10005	0	0	0	0	0	0	0	0	1	0	3	0	0	1	2	0	0	0	0	1	1	0	8	1	4	0	0	2	0	0	0	10	0	6	0	0	1	1	1	0	0	0	2	2	1	1	3	4	1	4	1	0	0	1	0	10	0	2	0	1	0	3	2	0	3	0	0	0	0	2	0	1	1	6	1	0	0	4	0	5	0	1	0	1	0	1	6	0	0	0	2	0
zOTU_10007	0	0	0	0	0	0	0	2	0	2	0	0	0	0	9	0	0	1	0	0	1	4	11	0	0	0	0	0	0	0	0	1	0	5	0	0	0	1	3	0	0	0	0	2	2	30	0	0	1	6	0	1	0	0	1	1	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	3	0	1	0	1	2	0	0	11	0	0	0	1	0	1	1	0	0	0	0	36
zOTU_10017	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
zOTU_10018	0	3	0	0	1	0	0	0	0	0	0	0	0	1	17	0	1	0	0	0	0	0	6	0	1	3	0	0	0	2	1	2	1	3	0	0	0	4	4	1	0	0	0	1	0	9	0	2	0	0	0	0	0	8	1	3	0	0	3	0	1	0	0	2	2	0	1	0	0	0	1	1	1	0	0	0	0	7	0	5	0	0	0	0	0	2	1	0	2	0	0	6
zOTU_1003	0	12	0	0	0	0	0	1	7	1	1	0	0	0	36	2	0	1	1	0	8	1	60	0	24	1	0	1	0	7	0	5	0	40	0	0	5	0	10	2	1	0	3	27	3	28	0	0	3	6	0	0	13	11	5	72	1	3	1	0	2	5	5	0	0	0	8	3	0	0	0	8	1	11	0	2	1	2	0	127	0	0	0	0	2	9	0	1	5	4	1	272
