#OTU ID	BC01	BC02	BC03	BC04	BC05	BC06	BC07	BC08	BC09	BC10	BC11	BC12	BC13	BC14	BC15	BC16	BC17	BC18	BC19	BC20	BC21	BC22	BC23	BC24	BC25	BC26	BC27	BC28	BC29	BC30	BC31	BC32	BC33	BC34	BC35	BC36	BC37	BC38	BC39	BC40	BC41	BC42	BC43	BC44	BC45	BC46	BC47	BC48	BC49	BC50	BC51	BC52	BC53	BC54	BC55	BC56	BC57	BC58	BC59	BC60	BC61	BC62	BC63	BC64	BC65	BC66	BC67	BC68	BC69	BC70	BC71	BC72	BC73	BC74	BC75	BC76	BC77	BC78	BC79	BC80	BC81	BC82	BC83	BC84	BC85	BC86	BC87	BC88	BC89	BC90	BC91	BC92	BC93	BC94	BC95	BC96
OTU_1	0	1	9	0	7	1	4	0	10	0	4	0	4	5	1	2	3	15	0	0	0	16	21	4	2	15	0	3	2	3	4	9	0	1	8	9	4	7	24	3	0	0	4	3	2	8	5	1	11	3	6	0	35	1	0	25	6	2	2	1	1	4	0	2	4	1	16	3	0	6	17	4	6	3	0	13	0	2	0	6	14	1	7	2	0	0	8	7	31	44	18	91	3	20	3	4
OTU_2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	2	1	1	0	0	1	0	1	3	1	0	1	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	1	2	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2
OTU_3	0	0	0	0	0	0	0	0	23	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	9	8	11	8	6	27	11	2	10	5	6	47	2	3	3	75	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4	32	0	0	0	0	0	0	0	1	3	3	0	0	5	2	7	49	1	5	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5	0	0	0	226	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	27	1	2	0	1	12	48	0	2	4	28	5	0	0	1	8	7	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7	0	0	4	0	0	0	1	1	2	1	1	0	1	2	1	1	0	4	1	1	0	1	1	1	0	2	1	2	2	2	1	1	0	0	2	0	1	1	1	0	0	1	1	0	0	3	1	0	0	1	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	1	1	2	2	0	1	0	2	2	2	1	0	4	3	5	0	0	2	3	6	4	0	7	0	2	1	0
OTU_8	0	0	0	0	0	0	0	0	0	0	0	0	16	66	89	24	16	24	8	3	5	10	13	36	3	18	4	33	19	15	16	38	9	43	33	23	13	28	13	16	43	10	25	16	14	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	19	27	29	24	26	14	25	43	7	15	7	25
OTU_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10	0	0	0	0	0	0	0	0	0	0	1	0	2	4	1	30	1	8	65	46	15	5	9	35	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	1	3	1	9	19	2	3	8	0	3	3	10	1	11	0
OTU_11	0	0	0	0	0	0	0	0	0	0	0	0	4	40	33	19	43	14	7	2	11	11	19	20	17	32	19	23	7	25	14	25	18	38	32	15	30	25	5	19	15	12	22	24	21	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	19	10	14	8	16	5	17	19	16	11	15	29
OTU_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
