#OTU ID	BC01	BC02	BC03	BC04	BC05	BC06	BC07	BC08	BC09	BC10	BC11	BC12	BC13	BC14	BC15	BC16	BC17	BC18	BC19	BC20	BC21	BC22	BC23	BC24	BC25	BC26	BC27	BC28	BC29	BC30	BC31	BC32	BC33	BC34	BC35	BC36	BC37	BC38	BC39	BC40	BC41	BC42	BC43	BC44	BC45	BC46	BC47	BC48	BC49	BC50	BC51	BC52	BC53	BC54	BC55	BC56	BC57	BC58	BC59	BC60	BC61	BC62	BC63	BC64	BC65	BC66	BC67	BC68	BC69	BC70	BC71	BC72	BC73	BC74	BC75	BC76	BC77	BC78	BC79	BC80	BC81	BC82	BC83	BC84	BC85	BC86	BC87	BC88	BC89	BC90	BC91	BC92	BC93	BC94	BC95	BC96
OTU_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	38	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2	14	4	18	0	1	3	6	9	3	3	3	0	0	5	1	3	17	32	0	1	1	3	0	0	22	0	11	3	0	0	0	1	9	0	0	6	6	9	0	1	3	1	3	2	0	4	5	6	0	22	4	1	0	14	3	9	36	1	2	4	13	3	2	1	6	0	8	3	0	0	2	9	0	5	13	1	0	5	0	0	15	10	2	5	0	0	4	2	13	4	31	1	3	5	4	0
OTU_3	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	136	47	67	52	9	34	19	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4	0	0	2	0	0	2	0	1	0	2	1	0	0	2	0	2	5	1	1	0	1	2	1	0	6	0	0	1	0	2	0	1	1	0	1	0	7	1	0	3	0	0	0	5	0	3	1	1	0	2	0	0	3	3	0	1	1	1	0	2	5	2	3	2	1	0	1	1	0	0	0	5	0	1	0	0	0	0	4	0	0	1	2	0	2	3	0	3	0	0	3	0	2	0	2	3
OTU_5	0	0	17	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	93	6	61	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6	0	6	0	0	0	0	0	0	0	51	0	0	0	0	0	6	1	2	0	0	0	0	0	1	0	0	1	5	0	3	0	2	1	0	0	0	0	0	0	2	0	0	0	14	31	0	0	2	2	1	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
OTU_7	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	8	0	0	0	0	1	11	1	1	0	0	4	2	0	0	0	0
OTU_8	10	0	2	0	0	7	0	1	0	1	7	0	0	4	0	3	14	1	0	0	0	7	0	0	5	1	0	0	0	0	0	0	2	0	1	2	7	0	0	1	0	1	4	1	0	1	1	1	0	2	1	0	0	1	0	0	0	0	1	0	10	2	0	2	2	0	0	0	0	1	1	2	2	0	2	0	0	1	5	0	2	0	2	0	0	1	1	0	2	0	0	0	0	0	1	1
OTU_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	167	0	0	0	0	0	0	20	0	1	15
OTU_10	0	0	2	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	13	0	16	2	0	1	0	15	0	0	0	0	1	0	8	1	8	6	6	0	0	1	0	0	0	12	2	0	14	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	4	0	0	0	0	0	0	0	0	4	1	0	3	0	0	0	0	0	0	0	0	0	23	0	0	0	0
OTU_11	7	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	15	7	59	180	14	4	11	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_12	6	13	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	15	3	13	0	15	3	5	8	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	12	37	38	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_14	0	0	0	0	0	0	0	0	0	0	0	0	2	60	3	13	13	2	13	7	2	2	4	26	5	67	21	8	58	4	14	2	3	7	13	16	8	9	7	8	24	14	4	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	3	2	0	1	1	0	0	2	2
OTU_15	0	0	0	0	0	0	0	0	0	0	0	0	0	21	12	12	26	4	12	4	2	6	12	4	10	8	23	4	5	4	11	4	22	9	12	11	35	29	0	23	6	11	13	13	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	4	0	4	3	0	10	1	12	1	6	18
OTU_16	6	2	3	0	8	44	11	0	12	1	5	0	17	3	1	14	15	6	10	1	4	89	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	8	4	1	11	4	10	2	14	7	0	0	2	9	6	11	0	14	0	14	3	0
OTU_17	27	0	3	0	0	4	0	7	0	0	1	0	0	2	0	2	18	0	3	1	0	8	0	0	16	0	2	0	0	0	0	1	18	0	0	1	10	3	0	5	0	3	3	4	1	2	0	0	0	16	0	0	0	13	0	0	7	2	1	1	29	0	12	5	1	0	2	0	0	1	1	10	2	2	7	0	0	0	12	0	1	0	1	0	0	0	0	0	2	0	1	0	3	0	3	2
OTU_18	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	2	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	4	12	1	0	0	0	2	0	35	0	6	80
OTU_19	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	8	0	1	0	1	3	16	2	2	1	0	15	0	0	0	0	0
OTU_20	1	1	0	0	10	0	0	0	0	26	0	0	0	0	0	0	0	0	1	0	21	0	1	0	1	4	0	0	4	23	0	0	0	35	1	0	0	0	0	1	0	0	0	2	11	0	0	0	1	0	0	5	7	0	5	1	0	0	0	3	0	0	0	0	5	0	0	0	1	3	0	0	0	0	0	0	3	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
OTU_21	0	0	0	507	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	3	0	0	0	1	3	0	0	1	0	0	0	0	4	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	2	0	0	1	1	0	2	4	0	0	3	1	2	0	3	6	4	5	1	1	0	0	7	1	4	8
OTU_22	0	2	0	0	0	0	0	0	0	0	2	0	0	0	19	0	0	1	0	0	5	0	4	1	2	0	0	0	0	1	2	0	0	8	0	2	0	3	0	20	4	0	0	21	17	0	1	4	1	1	10	0	5	6	0	0	1	0	8	0	0	16	4	0	0	0	1	0	20	0	0	0	0	0	0	1	3	14	0	0	0	4	1	0	0	0	5	0	2	0	0	1	0	0	2	0
OTU_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	28	44	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_24	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	1	9	2	7	20	12	1	1	7	1	34	7	11	1	97	20	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_25	2	6	0	0	8	4	0	1	0	8	0	0	1	0	1	8	3	2	0	0	5	11	13	3	7	10	1	3	8	8	0	3	2	3	5	0	1	2	0	1	0	1	1	7	1	1	0	0	3	0	8	1	9	0	5	0	0	1	2	5	0	0	0	4	4	0	7	0	0	8	0	0	0	0	1	1	1	7	7	1	0	0	4	2	1	0	0	0	0	0	2	1	0	1	1	1
OTU_26	5	4	13	0	7	7	14	12	13	2	10	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	7	16	17	30	7	21	14	9	15	14	14	18	9	13	11	3	8	25	9	10	2	2	4	3	2	16	5	2	16	37	4	7	5	14	6	9	11	0	0	0	0	0	0	0	0	0	0	0	0
OTU_27	0	0	0	0	0	0	0	42	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	12	31
OTU_28	0	0	0	0	12	3	7	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	3	5	2	1	22	14	10	11	3	7	9	5	38	1	7	20	11	0	8	1	1	33	5	5	5	18	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_29	13	25	7	0	0	0	0	0	0	0	1	0	2	6	1	39	1	12	6	9	2	5	3	5	5	1	11	10	4	5	3	2	3	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	0	0	131	52	0	0	3	1	3	0	18	1	3	4
OTU_30	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	2	0	0	0	3	3	0	0	1	0	0	0	1	2	2	4	1	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU_31	0	0	0	0	29	9	9	36	6	0	1	0	0	13	0	31	5	6	20	67	31	8	19	15	4	1	0	0	0	0	0	0	0	0	12	12	23	37	5	4	22	6	24	39	0	47	11	1	44	4	4	4	48	1	15	10	3	19	2	2	10	1	18	2	0	9	6	3	12	11	1	2	1	0	2	4	3	0	1	2	20	3	17	0	0	34	19	6	6	2	18	2	2	6	49	1
OTU_32	0	0	1	0	0	0	0	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	4	111	12	5	1	2	0	3	0	0	6	0	0	1	2	0	2	0	1	0	2	8	0	1	0	2	0	1	10	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_33	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	5	4	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	2	0	0	1	0	0	0	0	0	5	0	0	1	0	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0
OTU_34	8	8	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	20	10	6	3	23	11	12	14	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_35	38	3	10	0	3	76	5	3	4	4	1	0	0	1	0	15	23	2	6	1	5	95	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	7	4	4	2	25	0	2	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0
OTU_36	0	0	3	0	2	0	0	1	0	16	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	3	3	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	3	30	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
OTU_37	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	87	3	80	10	29	19	40	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_38	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	57	12	43	36	4	32	23	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_39	3	4	2	0	9	4	1	0	2	9	2	0	0	0	0	16	7	1	2	1	3	3	36	0	123	13	12	2	2	15	1	6	10	4	6	1	5	2	0	31	1	3	0	39	1	2	0	2	10	2	3	1	13	9	30	0	5	5	1	61	2	0	0	23	28	3	15	2	0	9	0	2	1	3	1	0	1	20	37	0	0	1	1	0	0	5	0	1	0	0	12	0	5	0	8	5
OTU_40	0	0	0	0	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	5	0	0	0	1	4	3	3	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_41	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	17	286	17	17	32	11	14	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_42	1	0	0	0	0	0	0	1	0	2	0	0	3	0	5	1	0	17	0	0	1	0	0	19	0	0	21	1	1	1	0	2	0	0	1	1	1	6	0	0	0	0	0	0	0	1	0	7	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	1	0	6	2	1	0	1	8	0	2	1	2	1	5	13	0	1	6
OTU_43	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	22	10	34	16	4	20	9	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_44	20	2	4	0	2	48	4	5	2	1	1	0	0	0	0	10	10	1	6	3	5	59	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	5	0	1	1	8	1	0	0	1	1	1	0	0	1	2	1	2	0	1	0	0	3
OTU_45	3	0	0	0	1	1	0	2	0	0	3	0	0	0	0	1	3	0	1	1	0	4	0	0	3	0	0	0	0	0	0	0	5	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	4	0	0	0	2	0	1	1	0	0	0	10	0	5	3	0	1	0	0	0	0	0	8	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	1
