SampleID	Barcode	NanoID	Sample	Group_n	inc	time	remove	TG	Group
NXT031_YAN_012	204	BC89	111-Diarr	111	Diarr	NA	s	TG1-1	Diarr
NXT031_YAN_059	251	BC85	112-Diarr	112	Diarr	NA	s	TG1-2	Diarr
NXT031_YAN_011	203	BC81	211-Diarr	211	Diarr	NA	s	TG2-1	Diarr
NXT031_YAN_060	252	BC93	213-Diarr	213	Diarr	NA	s	TG2-3	Diarr
NXT031_YAN_023	215	BC82	311-Diarr	311	Diarr	NA	s	TG3-1	Diarr
NXT031_YAN_036	228	BC91	312-Diarr	312	Diarr	NA	s	TG3-2	Diarr
NXT031_YAN_072	264	BC94	411-Diarr	411	Diarr	NA	s	TG4-1	Diarr
NXT031_YAN_035	227	BC83	412-Diarr	412	Diarr	NA	s	TG4-2	Diarr
NXT031_YAN_015	207	BC18	413-Diarr	413	Diarr	NA	s	TG4-3	Diarr
NXT031_YAN_083	275	BC87	511-Diarr	511	Diarr	NA	s	TG5-1	Diarr
NXT031_YAN_071	263	BC86	512-Diarr	512	Diarr	NA	s	TG5-2	Diarr
NXT031_YAN_047	239	BC84	611-Diarr	611	Diarr	NA	s	TG6-1	Diarr
NXT031_YAN_024	216	BC90	612-Diarr	612	Diarr	NA	s	TG6-2	Diarr
NXT031_YAN_084	276	BC95	613-Diarr	613	Diarr	NA	s	TG6-3	Diarr
NXT031_YAN_095	287	BC88	711-Diarr	711	Diarr	NA	s	TG7-1	Diarr
NXT031_YAN_048	240	BC92	811-Diarr	811	Diarr	NA	s	TG8-1	Diarr
NXT031_YAN_096	288	BC96	812-Diarr	812	Diarr	NA	s	TG8-2	Diarr
NXT031_YAN_061	253	BC06	G1-4-w1	G1	4	w1	s	TG1-4	TG1
NXT031_YAN_003	195	BC17	G1-2-w1	G1	2	w1	s	TG1-2	TG1
NXT031_YAN_091	283	BC56	G1-1-w2	G1	1	w2	s	TG1-6	TG1
NXT031_YAN_008	200	BC57	G1-5-w2	G1	5	w2	s	TG1-10	TG1
