	Barcode	nanoporeID	TG	Group	illuminaID	Group_nr
BC06	253	BC06	TG1-4	Basal diet	NXT031_YAN_061	TG1
BC17	195	BC17	TG1-2	Basal diet	NXT031_YAN_003	TG1
BC56	283	BC56	TG1-6	Basal diet	NXT031_YAN_091	TG1
BC57	200	BC57	TG1-10	Basal diet	NXT031_YAN_008	TG1
BC64	284	BC64	TG1-9	Basal diet	NXT031_YAN_092	TG1
BC67	225	BC67	TG1-1	Basal diet	NXT031_YAN_033	TG1
BC72	285	BC72	TG1-7	Basal diet	NXT031_YAN_093	TG1
BC74	214	BC74	TG1-8	Basal diet	NXT031_YAN_022	TG1
BC76	238	BC76	TG1-3	Basal diet	NXT031_YAN_046	TG1
BC79	274	BC79	TG1-5	Basal diet	NXT031_YAN_082	TG1
BC10	206	BC10	TG2-6	Zinc	NXT031_YAN_014	TG2
BC11	218	BC11	TG2-5	Zinc	NXT031_YAN_026	TG2
BC15	266	BC15	TG2-8	Zinc	NXT031_YAN_074	TG2
BC27	220	BC27	TG2-10	Zinc	NXT031_YAN_028	TG2
BC43	222	BC43	TG2-1	Zinc	NXT031_YAN_030	TG2
BC45	246	BC45	TG2-9	Zinc	NXT031_YAN_054	TG2
BC48	282	BC48	TG2-7	Zinc	NXT031_YAN_090	TG2
BC59	224	BC59	TG2-2	Zinc	NXT031_YAN_032	TG2
BC62	260	BC62	TG2-3	Zinc	NXT031_YAN_068	TG2
BC73	202	BC73	TG2-4	Zinc	NXT031_YAN_010	TG2
BC02	205	BC02	TG5-8	2.5% FRS	NXT031_YAN_013	TG5
BC14	254	BC14	TG5-10	2.5% FRS	NXT031_YAN_062	TG5
BC16	278	BC16	TG5-6	2.5% FRS	NXT031_YAN_086	TG5
BC32	280	BC32	TG5-9	2.5% FRS	NXT031_YAN_088	TG5
BC38	257	BC38	TG5-3	2.5% FRS	NXT031_YAN_065	TG5
BC42	210	BC42	TG5-2	2.5% FRS	NXT031_YAN_018	TG5
BC44	234	BC44	TG5-1	2.5% FRS	NXT031_YAN_042	TG5
BC52	235	BC52	TG5-7	2.5% FRS	NXT031_YAN_043	TG5
BC70	261	BC70	TG5-4	2.5% FRS	NXT031_YAN_069	TG5
BC12	230	BC12	TG6-5	5% FRS	NXT031_YAN_038	TG6
BC19	219	BC19	TG6-3	5% FRS	NXT031_YAN_027	TG6
BC28	232	BC28	TG6-1	5% FRS	NXT031_YAN_040	TG6
BC30	256	BC30	TG6-9	5% FRS	NXT031_YAN_064	TG6
BC37	245	BC37	TG6-4	5% FRS	NXT031_YAN_053	TG6
BC55	271	BC55	TG6-8	5% FRS	NXT031_YAN_079	TG6
BC65	201	BC65	TG6-10	5% FRS	NXT031_YAN_009	TG6
BC77	250	BC77	TG6-6	5% FRS	NXT031_YAN_058	TG6
BC78	262	BC78	TG6-7	5% FRS	NXT031_YAN_070	TG6
