#OTU ID	BRK01	BRK02	BRK05	BRK06	BRK09	BRK10	BRK13	BRK14	BRK17	BRK18	BRK21	BRK22	BRK25
OTU_1	156	109	127	142	134	134	143	126	101	132	185	133	0
OTU_2	294	281	342	371	332	308	350	382	352	340	319	343	0
OTU_3	27	57	1	3	0	1	2	1	0	0	2	0	0
OTU_4	32	67	1	4	2	1	3	1	1	0	3	0	0
OTU_5	51	43	24	30	37	37	40	33	33	23	37	29	0
OTU_6	34	44	30	31	24	43	24	33	30	38	23	15	0
OTU_7	128	123	115	148	116	131	109	131	166	167	160	105	0
OTU_8	54	69	62	46	56	48	60	47	49	41	49	57	0
OTU_9	0	0	0	0	0	0	0	0	0	0	0	13	0
OTU_10	34	48	23	21	23	33	27	18	21	22	54	8	0
OTU_11	40	65	2	8	1	1	3	2	0	1	1	1	0
OTU_12	15	17	21	23	14	21	15	10	19	13	17	15	0
OTU_13	8	6	0	3	0	0	1	1	1	0	0	0	0
OTU_14	530	436	664	587	631	619	733	621	713	518	539	768	1
OTU_15	368	320	379	449	375	359	366	394	483	382	449	329	0
OTU_16	18	42	3	3	3	2	0	3	1	0	0	3	1
OTU_17	23	52	4	3	1	1	1	0	2	3	3	2	0
OTU_18	25	45	3	7	0	1	2	1	1	0	0	1	0
OTU_19	10	37	0	2	0	0	1	1	0	1	0	0	0
OTU_20	5	15	0	2	0	1	0	1	0	0	0	0	0
OTU_21	13	35	2	1	0	1	0	3	0	1	0	1	0
OTU_22	45	55	48	60	38	51	44	37	49	48	47	55	0
OTU_23	343	321	378	356	326	396	367	340	402	321	357	242	0
OTU_24	272	208	281	307	277	276	305	319	260	303	286	330	1
OTU_25	273	232	405	319	460	359	436	425	343	401	337	299	0
OTU_26	24	50	3	5	0	2	1	1	0	1	1	1	0
OTU_27	45	37	53	38	41	33	45	33	18	47	56	37	0
OTU_28	9	37	0	2	1	2	2	1	0	1	1	0	0
OTU_29	710	578	807	730	765	665	867	844	725	680	745	769	1
OTU_30	40	54	7	8	0	2	2	2	0	0	1	1	0
OTU_31	309	285	293	345	285	337	283	295	269	323	368	227	0
OTU_32	351	287	417	367	480	337	485	415	490	334	568	436	1
OTU_33	436	479	508	485	494	614	534	517	429	618	345	301	0
OTU_34	90	79	95	85	82	103	92	97	80	112	55	56	0
OTU_35	93	110	85	137	103	73	100	124	90	88	100	97	0
OTU_36	337	275	470	385	405	384	414	424	446	359	304	412	1
OTU_37	31	45	1	4	0	0	2	1	1	2	1	0	0
OTU_38	15	21	21	13	17	4	18	7	8	15	4	3	0
OTU_39	142	129	117	148	133	163	146	132	131	125	146	146	0
OTU_40	41	52	34	40	30	38	41	34	40	41	33	30	0
