#OTU ID	BRK01	BRK02	BRK05	BRK06	BRK09	BRK10	BRK13	BRK14	BRK17	BRK18	BRK21	BRK22	BRK25
OTU_1	7	15	16	8	11	1	11	6	5	12	3	1	0
OTU_2	98	108	105	97	79	123	107	115	98	89	60	79	0
OTU_3	194	145	191	201	202	189	210	213	200	203	182	171	1
OTU_4	17	27	16	17	16	21	18	12	18	19	44	6	0
OTU_5	6	5	5	3	5	5	3	3	5	3	7	3	0
OTU_6	29	48	0	3	1	1	3	2	0	0	1	0	0
OTU_7	21	43	0	3	0	1	2	0	0	0	0	0	0
OTU_8	818	661	1054	908	980	954	1095	985	1095	809	816	1106	1
OTU_9	18	11	28	22	34	19	38	40	22	23	34	14	0
OTU_10	554	441	617	629	630	520	639	576	753	558	778	602	0
OTU_11	22	24	44	24	44	25	53	42	30	29	52	43	0
OTU_12	31	49	3	5	1	2	2	2	1	1	0	0	0
OTU_13	8	21	2	2	1	1	0	1	0	0	0	2	1
OTU_14	36	44	52	43	37	33	61	60	56	55	32	58	1
OTU_15	377	352	380	417	368	431	396	347	428	363	443	331	0
OTU_16	21	28	2	2	0	0	1	0	0	2	1	1	0
OTU_17	391	375	373	443	365	450	356	411	411	474	493	320	0
OTU_18	31	44	1	5	0	0	1	1	1	0	0	0	0
OTU_19	18	14	18	21	24	28	34	26	15	21	6	8	0
OTU_20	0	0	0	2	1	4	0	0	0	0	10	0	0
OTU_21	0	2	1	2	4	1	3	1	1	2	0	1	0
OTU_22	27	18	29	43	27	31	35	22	27	26	30	15	0
OTU_23	2	3	1	1	1	1	0	0	2	1	0	0	0
OTU_24	783	695	957	914	885	770	956	1014	869	816	898	926	0
OTU_25	22	28	4	3	0	2	0	1	0	0	0	0	0
OTU_26	5	19	0	2	0	0	0	0	0	0	0	0	0
OTU_27	12	7	22	12	19	17	23	22	15	10	14	6	0
OTU_28	500	534	578	540	532	679	588	582	492	704	388	336	1
OTU_29	1	1	1	1	1	0	1	0	1	3	0	0	0
OTU_30	44	25	38	50	47	27	71	54	36	23	41	36	0
OTU_31	523	413	639	588	686	606	687	683	565	643	579	610	1
OTU_32	1	3	1	4	2	2	1	2	4	2	6	10	0
OTU_33	7	14	1	1	0	2	0	1	0	0	0	0	0
OTU_34	2	1	5	3	2	1	2	1	1	3	0	2	0
OTU_35	15	37	1	2	1	4	1	2	1	0	1	0	0
OTU_36	87	69	87	113	120	92	94	137	121	83	121	78	0
OTU_37	18	35	2	4	0	1	2	1	1	0	0	1	0
OTU_38	172	126	162	165	150	146	167	143	106	160	219	156	0
OTU_39	33	49	2	6	1	1	2	1	0	1	1	1	0
OTU_40	4	8	0	1	0	0	0	1	0	0	0	0	0
