#OTU ID	BRK01	BRK02	BRK05	BRK06	BRK09	BRK10	BRK13	BRK14	BRK17	BRK18	BRK21	BRK22	BRK25
OTU_1	25	48	3	1	2	0	1	3	0	1	0	0	0
OTU_2	813	809	1058	2074	1698	2313	767	2365	1738	889	483	481	1
OTU_3	3795	3563	4049	3866	3753	4503	1845	3545	4117	3754	2134	1791	0
OTU_4	29	54	1	4	1	2	2	1	0	1	0	0	0
OTU_5	113	152	7	19	6	7	4	4	5	2	1	1	0
OTU_6	770	760	739	888	738	608	153	547	540	513	213	401	0
OTU_7	95	138	51	41	61	87	27	30	23	10	24	1	0
OTU_8	152	282	17	25	4	20	4	8	3	3	3	1	0
OTU_9	234	159	353	279	393	309	178	419	231	264	163	73	0
OTU_10	20	13	0	5	0	0	0	0	0	0	0	0	0
OTU_11	396	290	497	492	495	450	310	603	352	323	235	222	0
OTU_12	1807	1615	1794	248	279	1470	612	1789	1416	1415	801	943	0
OTU_13	37	104	6	9	3	5	0	2	2	2	1	0	0
OTU_14	9	7	5	7	0	2	3	0	1	0	0	0	0
OTU_15	38	70	0	4	2	3	1	2	0	0	1	0	0
OTU_16	32	56	3	10	0	1	0	1	1	1	1	0	0
OTU_17	4	14	1	0	0	0	0	0	0	1	0	0	0
OTU_18	53	159	4	19	0	6	0	3	0	2	0	0	0
OTU_19	48	127	8	13	3	5	0	2	1	1	1	0	0
OTU_20	87	182	5	18	3	7	1	5	1	2	2	1	0
OTU_21	41	62	4	7	1	5	1	3	4	0	0	3	0
OTU_22	13	21	1	1	0	1	0	0	0	1	0	0	0
OTU_23	12	6	0	23	6	32	0	0	0	0	39	0	0
OTU_24	145	124	172	133	153	129	107	169	114	134	44	44	0
OTU_25	21	24	3	2	2	0	0	1	0	0	0	0	0
OTU_26	71	149	8	17	4	6	1	5	2	2	2	0	0
OTU_27	23	77	3	8	2	3	1	2	1	1	0	0	0
OTU_28	15	14	2	3	0	1	0	1	0	0	0	1	0
OTU_29	21	107	129	148	59	104	43	99	71	112	46	59	0
OTU_30	1	1	0	0	0	0	0	0	0	0	0	53	0
OTU_31	0	0	0	0	0	1	18	11	22	0	0	0	0
OTU_32	211	151	268	0	0	119	63	186	165	161	55	73	0
OTU_33	16	23	1	2	0	2	0	0	0	0	1	0	0
OTU_34	58	53	79	49	0	0	0	13	92	66	54	46	0
OTU_35	26	23	42	32	34	30	15	33	33	25	15	15	0
OTU_36	39	106	2	8	0	6	1	4	0	1	0	1	1
OTU_37	11	24	0	2	0	1	0	0	0	0	0	0	0
OTU_38	3	8	11	7	4	0	0	11	0	6	0	0	0
OTU_39	20	24	16	22	13	3	7	2	9	0	0	2	0
OTU_40	23	57	3	3	0	2	0	1	0	0	0	1	0
OTU_41	21	54	4	3	0	2	2	0	0	0	0	0	0
OTU_42	21	46	1	3	0	4	0	0	0	2	0	0	0
OTU_43	16	27	23	24	20	25	9	15	24	27	8	14	0
OTU_44	27	52	4	5	0	4	1	1	0	1	1	0	0
OTU_45	64	149	2	16	4	4	0	2	2	1	2	2	0
OTU_46	498	545	602	802	750	865	337	1146	2550	2220	1090	857	0
OTU_47	38	94	5	7	0	2	1	5	1	1	0	0	0
OTU_48	13	8	0	1	1	0	0	0	0	0	0	0	0
OTU_49	80	125	7	8	1	4	1	3	0	1	1	1	0
OTU_50	23	41	0	2	1	0	0	1	0	0	0	0	0
OTU_51	44	107	1	2	3	0	0	0	0	0	0	0	0
OTU_52	1069	1129	1023	1532	1021	1289	521	1510	1253	1624	923	410	0
OTU_53	43	70	45	82	76	121	98	129	152	127	85	68	0
OTU_54	131	194	52	49	88	70	26	46	37	27	64	97	0
OTU_55	5629	5482	5435	5871	5439	6522	2626	5258	4666	6808	1958	1839	0
