#OTU ID	BRK01	BRK02	BRK05	BRK06	BRK09	BRK10	BRK13	BRK14	BRK17	BRK18	BRK21	BRK22	BRK25
OTU_1	1	1	1	2	0	0	2	2	1	0	0	2	0
OTU_2	863	685	954	963	693	784	336	667	659	828	495	433	0
OTU_3	63	117	5	15	2	11	3	4	2	1	1	0	0
OTU_4	37	71	0	4	1	2	1	3	5	0	0	1	0
OTU_5	30	52	2	0	1	3	0	0	1	0	0	2	0
OTU_6	68	137	4	10	2	5	0	4	0	0	1	0	0
OTU_7	44	99	4	8	2	7	0	2	0	1	0	0	0
OTU_8	22	65	2	2	1	0	0	0	1	1	0	0	0
OTU_9	11	38	2	5	1	1	0	1	0	1	0	0	0
OTU_10	62	145	6	6	1	10	1	3	1	1	2	0	0
OTU_11	86	190	4	14	1	8	1	7	1	1	2	1	0
OTU_12	77	144	18	21	4	9	0	14	8	9	7	9	0
OTU_13	2928	2160	3902	3454	4094	3519	1852	3803	3311	3452	1631	1571	0
OTU_14	215	183	125	167	179	211	65	104	157	156	211	40	0
OTU_15	66	147	6	9	1	5	3	5	3	2	0	3	0
OTU_16	2252	1941	2386	2238	2127	2514	1154	2139	2192	2136	720	1091	0
OTU_17	7	7	0	2	2	3	2	2	5	3	0	21	0
OTU_18	375	367	450	446	439	390	222	457	484	456	187	249	0
OTU_19	139	264	10	24	3	6	5	5	4	4	3	0	0
OTU_20	396	330	354	461	251	347	126	335	266	420	157	185	0
OTU_21	37	44	18	22	10	22	7	9	12	12	8	8	0
OTU_22	62	133	5	11	2	11	0	5	4	1	0	2	0
OTU_23	108	178	5	23	5	6	3	3	4	3	1	1	0
OTU_24	55	88	3	10	2	2	0	1	2	2	0	0	0
OTU_25	21	41	3	4	0	2	1	2	0	1	1	1	0
OTU_26	1543	1324	1816	1820	1765	1552	849	1699	1809	1673	839	998	1
OTU_27	2319	1700	3227	2506	3096	2623	1492	2611	3046	2521	1008	1764	2
OTU_28	24	53	2	6	0	1	2	1	2	0	0	1	0
OTU_29	1263	1266	1325	1408	1306	1550	542	1232	1309	1326	667	773	0
OTU_30	1357	1116	1462	1513	1499	1359	715	1609	1160	1251	798	383	0
OTU_31	108	74	122	105	136	108	58	108	149	108	65	63	0
OTU_32	45	81	0	7	2	4	1	2	0	0	1	0	0
OTU_33	68	140	13	17	2	9	1	2	2	1	2	1	0
OTU_34	132	172	7	20	2	6	1	7	2	2	1	3	0
OTU_35	61	145	6	10	1	5	1	8	1	1	0	0	0
OTU_36	29	62	0	5	0	0	0	2	1	1	0	0	0
OTU_37	53	54	49	42	51	18	23	32	32	48	21	8	0
OTU_38	298	344	278	314	273	302	132	333	286	338	165	133	0
OTU_39	311	315	279	405	343	340	139	292	277	384	201	170	0
OTU_40	45	60	5	4	2	5	6	5	0	2	3	1	0
OTU_41	24	68	4	5	2	6	1	2	3	0	0	1	0
OTU_42	33	25	44	28	37	7	10	9	25	15	2	1	0
OTU_43	152	134	181	155	167	201	52	155	183	267	98	63	0
OTU_44	31	67	2	3	2	3	1	1	1	0	0	2	0
OTU_45	189	165	216	194	160	178	71	134	201	140	154	105	0
OTU_46	226	244	219	242	202	280	72	208	241	346	141	77	0
OTU_47	206	161	247	246	259	187	100	210	266	225	125	110	0
OTU_48	57	104	10	7	5	3	0	6	3	1	2	1	0
OTU_49	33	62	0	9	1	1	2	1	1	1	0	2	0
OTU_50	23	41	3	2	0	1	0	0	0	0	0	0	0
OTU_51	82	157	5	13	2	5	3	4	1	0	2	0	0
OTU_52	2	4	2	1	3	4	2	0	2	2	0	2	0
OTU_53	82	178	2	16	4	7	3	5	1	6	1	0	0
OTU_54	29	54	11	7	2	5	0	1	1	1	0	0	0
OTU_55	145	263	17	26	12	17	3	12	12	5	13	6	0
OTU_56	9	12	4	3	0	0	0	0	0	2	0	1	0
OTU_57	63	98	5	11	2	9	1	4	1	0	1	2	0
OTU_58	69	111	5	4	4	2	2	5	1	2	0	0	0
OTU_59	66	178	8	23	9	7	4	4	6	3	3	0	0
OTU_60	190	183	233	240	169	209	56	179	200	322	114	77	0
OTU_61	6	22	8	12	16	10	2	11	9	12	6	4	0
OTU_62	345	309	384	413	310	280	186	239	355	287	238	195	0
OTU_63	53	72	50	52	34	47	15	37	28	58	11	10	0
OTU_64	129	131	133	138	151	122	53	114	181	128	72	72	0
OTU_65	152	132	198	174	185	190	68	141	182	172	75	114	0
OTU_66	40	88	4	4	2	5	1	1	1	1	1	0	0
OTU_67	60	135	8	13	2	4	1	3	0	2	0	1	0
OTU_68	696	624	858	886	953	775	358	780	817	887	437	478	0
OTU_69	1578	1328	1935	1947	1885	1628	798	1801	1904	1873	722	814	0
OTU_70	652	534	782	704	854	823	383	766	763	813	285	379	0
OTU_71	64	140	13	15	8	4	3	6	4	6	7	1	0
OTU_72	197	233	223	284	173	226	96	202	211	208	149	85	0
OTU_73	388	355	468	483	549	436	176	418	585	476	241	227	0
OTU_74	655	566	950	776	852	773	384	710	854	739	326	539	0
OTU_75	50	120	3	13	4	4	0	2	2	2	1	0	0
OTU_76	47	89	2	8	3	4	1	2	0	2	1	1	0
OTU_77	213	180	261	216	251	257	123	243	248	231	111	155	0
OTU_78	195	179	210	239	266	206	78	193	271	220	121	127	0
OTU_79	34	85	1	3	0	1	1	4	0	0	0	0	0
OTU_80	116	127	157	160	156	142	65	129	148	149	80	84	0
OTU_81	67	94	2	12	4	5	0	3	0	4	3	2	0
OTU_82	77	121	8	18	4	5	2	3	1	1	0	0	0
OTU_83	73	142	6	16	4	1	2	5	3	2	1	0	0
OTU_84	2026	1700	2666	2227	2489	2427	1250	2244	2592	2218	1012	1522	0
OTU_85	23	50	1	4	1	2	0	1	0	1	1	0	0
OTU_86	6	12	3	0	3	6	3	2	1	2	0	1	0
OTU_87	233	161	275	261	283	268	149	247	287	236	98	179	0
OTU_88	42	67	0	8	0	2	0	2	1	0	2	1	0
OTU_89	117	210	8	20	1	4	3	2	3	5	1	3	0
OTU_90	315	245	357	334	361	280	167	372	372	362	174	203	0
OTU_91	771	727	671	748	640	847	456	467	578	963	190	308	1
OTU_92	56	89	4	12	1	4	1	8	0	1	2	1	0
OTU_93	285	241	336	297	334	277	116	307	435	298	191	189	0
OTU_94	192	167	252	225	269	221	101	229	199	227	109	110	0
OTU_95	44	73	3	9	4	3	3	2	3	2	4	1	0
OTU_96	64	117	8	15	7	13	2	9	8	6	0	4	0
OTU_97	43	80	6	13	0	5	0	3	0	0	1	3	0
OTU_98	155	273	10	27	8	10	5	6	1	1	2	2	0
OTU_99	102	184	5	11	3	6	2	5	0	1	1	3	0
OTU_100	85	217	11	25	5	9	6	5	4	0	4	0	0
OTU_101	208	187	222	234	241	227	104	208	244	206	160	105	0
