#OTU ID	BRK01	BRK02	BRK05	BRK06	BRK09	BRK10	BRK13	BRK14	BRK17	BRK18	BRK21	BRK22	BRK25
OTU_1	2	3	1	0	1	0	2	2	1	2	0	2	0
OTU_2	38	33	58	56	41	41	16	21	53	37	42	16	0
OTU_3	28	42	4	2	1	0	0	3	1	0	0	1	0
OTU_4	24	40	2	3	1	1	1	1	3	0	0	1	0
OTU_5	21	20	0	2	0	0	0	1	0	0	0	1	0
OTU_6	7	28	1	3	1	0	0	3	0	0	1	0	0
OTU_7	21	63	4	4	1	3	0	2	0	1	0	0	0
OTU_8	12	29	0	0	0	0	0	0	1	0	0	0	0
OTU_9	3	23	0	5	0	0	0	1	0	1	0	0	0
OTU_10	26	67	7	4	1	3	1	3	0	0	2	0	0
OTU_11	49	115	3	9	2	5	0	4	1	1	1	0	0
OTU_12	38	64	5	5	0	4	0	2	0	1	1	0	0
OTU_13	217	133	339	272	372	303	173	405	227	258	156	73	0
OTU_14	257	233	161	210	224	269	84	125	202	183	248	46	0
OTU_15	7	32	2	1	0	1	1	2	0	1	0	0	0
OTU_16	131	110	145	116	132	121	105	171	94	131	9	44	0
OTU_17	2	5	0	1	0	0	0	2	1	0	0	13	0
OTU_18	10	9	17	20	12	5	3	7	14	6	2	7	0
OTU_19	113	214	8	23	3	6	2	5	3	4	2	0	0
OTU_20	1644	1372	1693	1866	1235	1558	645	1386	1194	1661	947	803	0
OTU_21	9	6	4	5	1	8	1	2	6	5	4	0	0
OTU_22	15	22	0	1	1	2	0	2	0	0	0	0	0
OTU_23	87	117	5	12	4	4	2	3	4	0	1	1	0
OTU_24	29	46	3	4	0	0	0	1	2	1	0	0	0
OTU_25	71	151	7	16	2	10	0	0	0	2	0	0	0
OTU_26	971	925	1037	1316	1097	1112	344	892	1456	1252	480	713	0
OTU_27	376	311	508	403	488	358	286	483	491	452	161	334	1
OTU_28	9	11	0	3	0	0	0	0	1	0	0	0	0
