#OTU ID	BRK01	BRK02	BRK05	BRK06	BRK09	BRK10	BRK13	BRK14	BRK17	BRK18	BRK21	BRK22	BRK25
OTU_1	13	32	1	1	0	0	0	0	0	0	0	0	0
OTU_2	4770	4641	4868	4827	4600	5366	2144	4310	5028	4476	2464	2430	0
OTU_3	5555	4682	6452	6629	7801	6441	3141	6964	7991	6497	4106	3488	0
OTU_4	23	61	4	3	0	2	2	0	0	0	0	0	0
OTU_5	9242	7948	11235	11219	11156	9791	5043	11330	10145	10402	4949	5813	1
OTU_6	41	35	60	59	43	48	18	20	58	39	42	21	0
OTU_7	2	1	2	2	1	0	0	0	1	0	0	2	0
OTU_8	114	109	131	77	124	37	42	81	78	131	29	9	0
OTU_9	399	290	501	494	498	451	313	605	353	325	237	227	0
OTU_10	5685	5588	5451	5895	5455	6554	2632	5291	4690	6848	1972	1850	0
OTU_11	93	202	6	18	3	8	1	5	1	3	2	1	0
OTU_12	21	14	10	12	14	9	5	12	15	14	10	8	0
OTU_13	238	430	20	33	6	16	5	15	2	5	2	3	0
OTU_14	16	33	0	4	0	2	0	0	0	0	0	0	0
OTU_15	34	44	23	36	37	30	12	28	28	33	24	49	0
OTU_16	144	254	6	28	6	7	2	4	3	5	0	0	0
OTU_17	58	153	9	17	3	5	1	3	1	1	1	0	0
OTU_18	7	9	1	0	0	0	0	1	1	0	1	0	0
OTU_19	205	395	24	38	7	19	4	12	4	6	4	1	0
OTU_20	13	6	0	23	6	32	0	0	0	0	39	0	0
OTU_21	104	242	8	24	2	9	2	11	2	2	2	0	0
OTU_22	17	50	1	4	0	2	0	0	0	1	1	0	0
OTU_23	263	372	15	33	4	17	10	14	3	3	1	3	0
OTU_24	259	232	159	211	225	270	82	127	199	186	249	46	0
OTU_25	10	9	12	20	13	14	4	9	11	14	3	2	0
OTU_26	213	422	16	40	7	15	4	11	4	4	3	2	0
OTU_27	204	143	200	174	224	210	122	193	117	207	45	39	0
OTU_28	180	322	13	38	1	19	3	13	5	2	3	6	1
OTU_29	0	12	1	0	0	0	0	0	0	1	0	0	0
OTU_30	364	297	540	407	510	378	302	507	515	475	173	350	1
OTU_31	238	439	21	37	5	17	3	9	1	7	4	5	0
OTU_32	37	99	4	7	3	6	0	2	0	2	0	0	0
OTU_33	173	261	12	25	8	7	5	8	7	5	1	1	0
OTU_34	3696	3588	3611	4443	3632	4344	1498	3833	3897	4757	2342	1716	0
OTU_35	251	467	18	34	5	20	4	14	11	5	2	2	0
OTU_36	6	16	0	1	0	0	0	0	0	0	0	0	0
OTU_37	18	34	1	5	0	1	3	3	1	0	0	1	0
OTU_38	4	12	0	0	0	0	0	0	0	0	0	0	0
OTU_39	13	51	4	4	0	3	0	2	0	1	0	0	0
OTU_40	21	67	0	2	0	1	1	4	0	0	0	0	0
OTU_41	7901	6333	10959	8924	10159	9589	4807	8820	10062	8645	3810	5876	1
OTU_42	162	323	15	26	4	17	2	16	4	3	3	1	0
OTU_43	236	161	353	281	395	310	180	422	231	266	164	75	0
OTU_44	10	29	0	2	1	0	0	0	1	0	0	0	0
OTU_45	10	14	9	23	15	15	9	13	27	14	4	8	0
OTU_46	1713	1440	1768	1925	1303	1630	697	1433	1231	1705	1057	816	0
OTU_47	261	521	14	52	7	22	4	9	9	8	4	8	0
OTU_48	4	12	1	2	0	1	0	0	0	0	0	0	0
OTU_49	59	178	6	20	0	7	0	4	0	2	1	0	0
OTU_50	5	8	0	0	0	0	0	0	0	0	0	1	0
OTU_51	148	131	187	142	161	134	109	177	118	136	48	46	0
OTU_52	5121	4046	6417	6011	6751	5913	2952	6245	5779	6222	2882	2994	1
OTU_53	365	645	29	60	21	28	8	15	2	6	7	2	0
OTU_54	4	7	1	2	0	3	0	0	0	0	0	0	0
OTU_55	54	138	6	15	4	7	0	2	2	2	1	0	0
OTU_56	28	74	2	2	0	3	1	1	0	1	0	1	0
OTU_57	71	137	3	8	5	9	1	4	1	0	1	0	0
OTU_58	22	20	29	28	20	19	9	22	24	24	7	19	0
OTU_59	1	1	0	0	0	0	0	0	0	0	0	53	0
OTU_60	175	141	236	219	272	163	128	230	219	165	200	164	0
OTU_61	143	314	16	29	6	13	7	9	2	8	0	1	0
OTU_62	22	29	27	32	25	30	9	18	28	31	10	15	0
OTU_63	236	184	316	333	265	291	147	254	274	254	127	94	0
OTU_64	104	146	56	48	61	89	31	30	24	10	24	1	0
