#OTU ID	BRK01	BRK02	BRK05	BRK06	BRK09	BRK10	BRK13	BRK14	BRK17	BRK18	BRK21	BRK22	BRK25
OTU_1	15	30	0	0	0	0	0	1	0	0	0	0	0
OTU_2	75	155	7	17	0	7	4	6	1	1	1	1	0
OTU_3	54	131	5	15	4	7	0	1	2	2	1	0	0
OTU_4	32	39	21	28	31	24	13	25	27	28	19	45	0
OTU_5	0	2	0	3	0	1	0	2	0	2	0	0	0
OTU_6	36	126	3	8	1	10	0	1	0	2	0	1	0
OTU_7	5	9	3	2	0	3	0	0	0	0	0	0	0
OTU_8	360	658	30	66	20	29	8	15	3	5	7	2	0
OTU_9	90	183	5	17	4	7	2	4	1	6	1	0	0
OTU_10	5658	5465	5479	5791	5317	6385	2570	5338	4786	7009	2012	1888	1
OTU_11	25	16	11	14	16	10	5	14	17	14	11	8	0
OTU_12	333	241	387	370	486	301	201	386	345	281	317	261	0
OTU_13	7875	6288	10705	8906	10010	9486	4843	8786	10069	8625	3798	5888	1
OTU_14	1707	1445	1753	1906	1290	1626	691	1432	1213	1690	1046	815	0
OTU_15	234	410	21	32	3	14	5	15	2	5	2	3	0
OTU_16	0	0	0	0	0	0	0	0	0	0	0	53	0
OTU_17	12	16	2	2	0	0	0	0	0	0	0	0	0
OTU_18	31	76	2	2	0	3	1	1	0	1	0	1	0
OTU_19	191	347	12	34	3	15	4	7	6	6	2	6	0
OTU_20	50	105	1	8	4	8	1	2	0	0	1	0	0
OTU_21	399	332	548	432	524	384	306	514	522	483	178	355	1
OTU_22	1	1	1	4	1	3	0	0	0	3	0	0	0
OTU_23	10	14	8	23	15	15	9	13	26	13	4	9	0
OTU_24	20	88	4	12	0	3	0	2	0	2	0	0	0
OTU_25	18	20	15	12	15	29	6	1	13	1	1	0	0
OTU_26	84	175	8	12	2	11	3	6	3	4	1	0	0
OTU_27	23	66	4	4	2	4	0	2	0	1	0	0	0
OTU_28	9	9	4	6	2	10	2	4	7	5	5	0	0
OTU_29	233	153	341	274	374	304	175	411	229	261	158	75	0
OTU_30	554	407	672	658	663	605	401	745	491	427	296	299	0
OTU_31	82	96	5	10	0	2	5	4	1	3	1	1	0
OTU_32	16	62	1	2	0	5	0	1	0	1	0	0	0
OTU_33	213	424	16	41	7	16	4	11	4	4	3	2	0
OTU_34	5374	4373	6542	6150	6931	6054	3029	6343	5832	6252	2906	3028	1
OTU_35	10	9	11	20	13	13	4	9	9	13	4	1	0
OTU_36	85	160	6	16	2	6	1	4	1	2	2	1	0
OTU_37	0	13	1	0	0	0	0	0	0	1	0	0	0
OTU_38	23	19	27	25	19	19	9	20	20	23	7	16	0
OTU_39	206	369	14	31	4	17	3	9	10	3	1	3	0
OTU_40	6	15	0	1	0	0	0	0	0	0	0	0	0
OTU_41	17	42	3	1	0	1	1	0	0	0	0	0	0
OTU_42	281	536	21	44	5	17	5	11	2	7	5	4	0
OTU_43	6	8	1	0	0	0	0	1	1	0	1	0	0
OTU_44	18	39	1	5	0	1	0	0	0	0	1	0	0
OTU_45	16	35	3	4	0	1	0	0	0	0	0	0	0
OTU_46	20	37	1	7	1	1	0	0	0	0	0	0	0
OTU_47	6	31	1	3	0	4	0	1	0	0	0	0	0
OTU_48	5	7	0	0	0	0	0	0	0	0	0	1	0
OTU_49	5	11	1	1	0	1	0	0	0	1	0	0	0
OTU_50	40	78	3	8	1	2	0	3	1	0	0	0	0
OTU_51	21	30	26	28	26	30	7	18	26	27	9	14	0
OTU_52	150	135	192	146	164	138	110	182	121	137	48	46	0
OTU_53	0	0	1	1	0	2	1	4	3	2	1	1	0
OTU_54	17	50	0	2	0	1	1	3	0	0	0	0	0
OTU_55	9	26	0	2	1	0	0	0	1	0	0	0	0
OTU_56	8	16	0	1	1	0	0	0	0	0	0	0	0
OTU_57	15	25	0	4	1	0	0	1	0	0	0	0	0
OTU_58	74	168	14	8	3	9	2	2	1	2	0	2	0
OTU_59	4	1	3	1	4	3	0	2	1	2	1	1	0
OTU_60	21	40	2	0	1	2	0	2	1	0	0	0	0
OTU_61	12	32	1	2	0	0	0	1	0	0	0	0	0
OTU_62	6366	5332	7377	7266	7723	6389	3130	6926	8068	6573	4138	3502	0
OTU_63	3	2	3	1	11	3	1	2	1	1	1	0	0
OTU_64	4749	4610	4862	4802	4567	5291	2106	4250	4952	4401	2429	2386	0
OTU_65	209	146	210	178	239	212	127	202	122	211	47	35	0
OTU_66	3734	3630	3655	4481	3687	4332	1520	3822	3898	4754	2336	1712	0
OTU_67	0	0	4	10	0	0	0	0	0	0	0	0	0
OTU_68	14	33	1	1	0	0	0	0	1	0	0	0	0
OTU_69	205	359	14	42	3	20	3	15	6	2	2	6	1
OTU_70	104	146	56	48	61	89	31	30	24	10	24	1	0
OTU_71	159	242	12	23	6	6	5	8	6	3	1	1	0
OTU_72	235	184	313	332	261	292	148	255	269	252	129	94	0
OTU_73	77	184	3	18	4	6	2	4	4	1	2	2	0
OTU_74	43	34	61	60	43	44	19	21	56	39	42	17	0
OTU_75	18	54	1	4	0	2	0	0	0	1	1	0	0
OTU_76	15	27	2	6	0	1	0	0	0	0	0	0	0
OTU_77	6	3	10	5	5	7	2	4	2	4	2	6	0
OTU_78	8828	7462	10674	10559	10553	9362	4915	10759	9798	9810	4758	5585	1
OTU_79	14	7	0	28	6	38	1	0	0	0	40	0	0
OTU_80	242	213	146	199	211	241	79	124	189	183	247	46	0
OTU_81	442	876	41	79	14	42	6	30	7	9	10	2	0
OTU_82	111	99	128	73	119	36	41	79	76	127	27	9	0
