#OTU ID	BRK01	BRK02	BRK05	BRK06	BRK09	BRK10	BRK13	BRK14	BRK17	BRK18	BRK21	BRK22	BRK25
OTU_1	18	43	2	1	0	0	1	0	1	0	0	0	0
OTU_2	36	97	8	6	1	4	1	0	1	0	1	0	0
OTU_3	3666	3726	3597	3839	3450	4141	1584	3619	3078	4456	1360	1291	0
OTU_4	1076	860	1150	1171	854	986	426	840	816	1031	654	538	0
OTU_5	128	151	120	111	99	110	54	98	72	101	63	42	0
OTU_6	159	158	168	106	179	50	57	93	106	142	33	21	0
OTU_7	4809	3978	6257	5512	6088	5846	2665	5296	5699	4966	2298	3563	0
OTU_8	2370	2170	2414	2719	2448	2741	1000	2391	2588	2929	1388	1161	0
OTU_9	118	281	10	22	3	14	1	4	1	4	2	3	0
OTU_10	422	547	358	364	389	311	154	334	325	377	192	162	0
OTU_11	242	428	23	35	7	15	6	18	5	6	1	4	0
OTU_12	3208	2516	3904	3839	4065	3458	1770	3750	3451	3789	1878	1913	1
OTU_13	27	60	0	6	1	3	0	1	0	1	0	1	0
OTU_14	1074	1158	1159	1335	1209	1072	504	1329	1044	1135	551	640	0
OTU_15	156	251	8	28	10	11	3	6	6	5	3	3	0
OTU_16	101	246	15	28	10	15	6	9	7	1	5	5	0
OTU_17	147	248	10	27	5	21	5	12	4	2	4	4	1
OTU_18	1032	935	1235	1244	1254	1089	530	1001	1296	1122	694	591	0
OTU_19	231	454	26	45	9	28	6	12	6	4	4	1	0
OTU_20	15	7	0	27	7	37	0	0	0	0	42	0	0
OTU_21	1616	1662	1576	2082	1508	1854	647	1648	1619	2024	1050	659	0
OTU_22	8	20	0	1	0	0	0	0	0	0	0	0	0
OTU_23	44	92	2	10	0	5	2	6	0	0	0	1	0
OTU_24	2460	2290	2799	3023	2857	2618	1416	3015	2633	2587	1336	1517	1
OTU_25	10	26	1	2	1	0	0	0	0	1	0	0	0
OTU_26	24	73	6	11	5	3	2	3	2	8	1	0	0
OTU_27	44	114	1	5	0	1	1	5	0	0	0	0	0
OTU_28	136	241	12	18	4	13	1	12	3	2	4	2	0
OTU_29	15	46	1	7	1	1	0	1	1	1	0	0	0
OTU_30	368	488	257	336	266	298	120	268	278	329	163	110	0
OTU_31	2235	1711	2929	2512	3180	2843	1420	2929	2564	2622	1104	1157	0
OTU_32	228	453	15	41	6	18	3	7	8	9	4	7	0
OTU_33	20	42	4	9	6	8	4	6	2	7	2	5	0
OTU_34	73	240	8	26	1	7	1	5	0	4	1	0	0
OTU_35	9	23	1	1	0	0	0	0	0	0	0	1	0
OTU_36	1833	1626	1852	1778	1846	1876	909	1629	1892	1599	777	766	0
OTU_37	325	632	29	56	19	25	9	19	5	5	7	3	0
OTU_38	78	80	50	48	64	56	21	45	68	46	28	30	0
OTU_39	64	175	5	17	5	6	0	3	2	2	1	1	0
OTU_40	39	101	1	2	0	6	2	3	0	1	2	2	0
OTU_41	82	156	3	9	5	11	2	4	3	0	1	0	0
OTU_42	620	688	695	587	598	514	266	496	613	494	253	382	0
OTU_43	1	1	0	0	0	0	0	0	0	0	0	59	0
OTU_44	3457	2711	4036	3708	4235	3335	1759	3685	4375	3375	2321	2114	1
OTU_45	163	397	14	37	5	13	6	9	2	11	1	2	0
OTU_46	613	768	533	562	566	449	210	510	574	497	267	259	0
OTU_47	562	506	542	497	465	534	232	455	533	456	213	290	0
OTU_48	72	110	48	51	64	84	17	31	37	30	52	3	0
OTU_49	7049	5912	8578	8184	8383	7299	3845	8423	7623	7756	3634	4348	0
OTU_50	2164	1904	2492	2568	2601	2238	1006	2493	2612	2253	1373	1017	0
OTU_51	122	279	8	21	2	11	2	11	2	2	2	1	0
OTU_52	23	83	2	4	0	4	1	1	0	2	1	0	0
OTU_53	287	416	19	40	5	19	11	15	5	4	3	3	0
OTU_54	311	297	181	225	244	304	105	134	205	176	241	45	0
OTU_55	512	549	416	468	378	506	189	394	361	581	142	139	0
OTU_56	2881	2915	2983	2986	2735	3369	1225	2599	2946	2795	1626	1522	0
OTU_57	205	427	16	29	5	13	6	9	6	4	4	2	0
OTU_58	456	376	438	560	294	425	167	398	314	495	223	221	0
OTU_59	209	188	219	257	177	234	106	183	156	218	200	88	0
OTU_60	2166	1953	2006	2031	2038	2294	1047	1796	1717	2575	660	593	0
OTU_61	54	101	6	11	0	5	0	4	1	0	0	2	0
OTU_62	12	25	3	4	1	1	0	3	1	3	0	2	0
OTU_63	3493	2640	5191	3795	4629	4167	2459	4030	4819	4106	1633	2629	2
OTU_64	210	379	17	31	5	15	2	8	3	6	3	4	0
OTU_65	69	181	5	12	6	12	0	5	0	3	0	0	0
OTU_66	200	329	15	34	13	11	6	11	5	6	2	3	0
OTU_67	221	472	16	31	5	15	6	14	9	5	2	3	0
