#OTU ID	BRK01	BRK02	BRK05	BRK06	BRK09	BRK10	BRK13	BRK14	BRK17	BRK18	BRK21	BRK22	BRK25
OTU_1	54	131	5	15	4	7	0	1	2	2	1	0	0
OTU_2	5642	5447	5465	5777	5308	6366	2562	5326	4778	6989	2002	1886	1
OTU_3	0	2	5	3	2	2	1	0	2	1	1	0	0
OTU_4	209	146	210	178	239	212	127	202	122	211	47	35	0
OTU_5	231	152	341	273	374	303	175	409	229	261	158	75	0
OTU_6	3713	3594	3646	4462	3677	4317	1515	3806	3879	4745	2333	1704	0
OTU_7	0	0	4	10	0	0	0	0	0	0	0	0	0
OTU_8	14	33	1	1	0	0	0	0	1	0	0	0	0
OTU_9	204	357	14	41	3	20	3	15	6	2	2	6	1
OTU_10	104	144	56	48	61	86	31	30	24	10	24	1	0
OTU_11	159	241	12	23	6	6	5	8	6	3	1	1	0
OTU_12	4728	4585	4845	4788	4559	5279	2098	4231	4941	4394	2423	2381	0
OTU_13	77	182	3	18	4	6	2	4	4	1	2	2	0
OTU_14	43	34	61	60	43	44	19	21	56	39	42	17	0
OTU_15	18	54	1	4	0	2	0	0	0	1	1	0	0
OTU_16	15	27	2	5	0	1	0	0	0	0	0	0	0
OTU_17	6	3	9	5	5	7	2	4	2	4	2	6	0
OTU_18	14	7	0	28	6	38	1	0	0	0	40	0	0
OTU_19	241	212	146	199	211	241	79	124	189	182	246	46	0
OTU_20	63	104	9	11	1	4	0	5	0	0	1	0	0
OTU_21	1696	1421	1748	1705	1031	1309	541	1305	1210	1690	1043	814	0
OTU_22	89	80	112	52	108	32	33	77	68	127	27	7	0
OTU_23	15	30	0	0	0	0	0	1	0	0	0	0	0
OTU_24	74	153	7	17	0	7	4	6	1	1	0	1	0
OTU_25	4578	3560	5482	4963	5807	5097	2524	5052	5011	5164	2230	2473	0
OTU_26	84	175	8	12	2	11	3	6	3	4	1	0	0
OTU_27	23	66	4	4	2	4	0	2	0	1	0	0	0
OTU_28	9	9	4	6	2	9	2	1	6	5	4	0	0
OTU_29	42	88	5	4	0	5	1	2	1	3	2	1	0
OTU_30	283	578	21	49	13	28	5	22	5	6	7	0	0
OTU_31	82	96	5	10	0	2	5	4	1	3	1	1	0
OTU_32	3683	3120	3840	4144	5461	3060	388	4722	4977	3494	1621	1689	0
OTU_33	16	62	1	2	0	5	0	1	0	1	0	0	0
OTU_34	213	422	16	41	7	16	4	11	4	4	3	2	0
OTU_35	10	9	11	20	13	12	4	9	9	13	4	1	0
OTU_36	85	159	6	16	2	6	1	4	1	2	2	1	0
OTU_37	0	13	1	0	0	0	0	0	0	1	0	0	0
OTU_38	23	18	27	24	19	19	9	19	18	21	6	16	0
OTU_39	206	369	14	31	4	17	3	9	10	3	1	3	0
OTU_40	6	15	0	1	0	0	0	0	0	0	0	0	0
OTU_41	545	405	666	651	657	600	398	743	488	425	294	295	0
OTU_42	17	42	3	1	0	1	1	0	0	0	0	0	0
OTU_43	280	531	21	44	5	17	5	11	2	7	5	4	0
OTU_44	6	8	1	0	0	0	0	1	1	0	1	0	0
OTU_45	18	39	1	5	0	1	0	0	0	0	1	0	0
OTU_46	16	35	3	4	0	1	0	0	0	0	0	0	0
OTU_47	0	0	0	197	257	312	146	125	0	0	0	0	0
OTU_48	20	37	1	7	1	1	0	0	0	0	0	0	0
OTU_49	6	31	1	3	0	3	0	1	0	0	0	0	0
OTU_50	5	7	0	0	0	0	0	0	0	0	0	1	0
OTU_51	5	11	1	1	0	1	0	0	0	1	0	0	0
OTU_52	40	78	3	8	1	2	0	3	1	0	0	0	0
OTU_53	21	29	24	28	26	30	7	18	25	26	7	13	0
OTU_54	150	135	192	146	164	138	109	182	121	137	47	46	0
OTU_55	0	0	1	1	0	2	0	4	3	2	1	1	0
OTU_56	235	184	313	332	261	292	147	255	268	252	129	94	0
OTU_57	17	50	0	2	0	1	1	3	0	0	0	0	0
OTU_58	9	26	0	2	1	0	0	0	1	0	0	0	0
OTU_59	8	16	0	1	1	0	0	0	0	0	0	0	0
OTU_60	14	25	0	4	1	0	0	1	0	0	0	0	0
OTU_61	73	166	14	8	3	9	2	2	1	2	0	1	0
OTU_62	1	1	3	1	2	2	0	2	0	2	0	1	0
OTU_63	21	40	2	0	1	2	0	2	1	0	0	0	0
OTU_64	12	32	1	2	0	0	0	1	0	0	0	0	0
OTU_65	3	2	2	1	10	3	1	2	0	1	1	0	0
OTU_66	44	79	4	13	0	3	0	1	1	0	0	1	0
OTU_67	32	36	20	28	29	22	11	25	27	24	19	44	0
OTU_68	7856	6266	10689	8889	9994	9466	4833	8764	10055	8605	3792	5874	1
OTU_69	36	124	3	8	1	10	0	1	0	2	0	1	0
OTU_70	5	9	1	2	0	3	0	0	0	0	0	0	0
OTU_71	359	654	30	65	20	29	8	15	3	5	7	2	0
OTU_72	90	183	5	17	4	7	2	4	1	6	1	0	0
OTU_73	8813	7443	10656	10538	10531	9335	4910	10741	9781	9793	4748	5580	1
OTU_74	331	241	386	370	485	300	201	386	345	281	317	260	0
OTU_75	1	0	0	1	3	2	0	2	1	3	1	1	0
OTU_76	23	16	10	12	15	9	5	14	16	14	10	7	0
OTU_77	2666	2196	3525	3110	2244	3315	2738	2198	3077	3072	2507	1808	0
OTU_78	233	409	21	32	3	14	5	15	2	5	2	3	0
OTU_79	0	0	0	0	0	0	0	0	0	0	0	53	0
OTU_80	12	16	2	2	0	0	0	0	0	0	0	0	0
OTU_81	31	75	2	2	0	3	1	1	0	1	0	1	0
OTU_82	191	345	12	34	3	15	4	7	6	6	2	6	0
OTU_83	50	105	1	8	4	8	1	2	0	0	1	0	0
OTU_84	396	330	547	431	522	384	306	514	522	483	178	355	1
OTU_85	769	764	1042	1165	1108	934	499	1267	811	1070	669	548	1
OTU_86	1	1	1	3	1	3	0	0	0	2	0	0	0
OTU_87	10	13	8	23	15	15	9	13	26	12	4	9	0
OTU_88	20	88	4	12	0	3	0	2	0	1	0	0	0
OTU_89	18	20	15	12	15	29	6	1	13	1	1	0	0
