taxonomy,mean,cor_pearson,p_pearson,taxon_l,tag,cor_spearman,p_spearman
OTU_120,0.33074625381047,0.999238175656682,0.00000000000000201824221290486,OTU,kmerCon,0.929871848232507,0.0000118648817585511
OTU_76,0.0678023525557233,0.999648591557835,0.0000000000000000421751990497911,OTU,kmerCon,0.937155733891234,0.00000694286177556402
OTU_11,0.00821743894150901,0.999518013616377,0.000000000000000204680045026827,OTU,kmerCon,1,0
OTU_67,0.175801442802606,0.942994168116654,0.00000430656570741376,OTU,kmerCon,0.732682599134686,0.00672101125769895
OTU_135,0.0305908332963482,0.99406583189151,0.0000000000573785584645307,OTU,kmerCon,0.671819534695189,0.0167217291703436
OTU_51,2.9358600752707,0.999999936254996,0.00000000000000000000000000000000000828860175309944,OTU,kmerCon,0.888971652509939,0.000109979794946543
OTU_70,0.847793476246554,0.998997673524432,0.00000000000000795373149627485,OTU,kmerCon,0.937155733891234,0.00000694286177556402
OTU_114,11.1937284668366,0.387949032569175,0.212721874827017,OTU,kmerCon,-0.0935759634220988,0.77238293950389
OTU_148,4.08659901462322,0.999876053380748,0.00000000000000000023032138974412,OTU,kmerCon,1,0
OTU_80,3.26034276981011,0.264289503833361,0.406490117814666,OTU,kmerCon,0.366120435988124,0.241813021929217
OTU_101,0.50710881156924,0.818423984256023,0.00113600487882256,OTU,kmerCon,0.738234751420006,0.00611392256447374
OTU_95,0.458682579033762,0.999525001706439,0.000000000000000190268530150833,OTU,kmerCon,0.698544711021081,0.0115015556703836
OTU_30,0.371133500399705,0.763415676600579,0.00386187229742118,OTU,kmerCon,0.703187434157855,0.0107358780952531
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium,0.368359356099735,0.999901445306412,0.0000000000000000000732092208934465,Genus,kmerCon,0.981716922509758,0.0000000156033214885747
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella,1.38602856413255,0.999799783910059,0.00000000000000000253279776448696,Genus,kmerCon,0.956612207859976,0.00000112569604499307
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus,4.08659901462322,0.999876053380748,0.00000000000000000023032138974412,Genus,kmerCon,1,0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus,67.1704206473095,0.999964641324651,0.000000000000000000000435216048625235,Genus,kmerCon,0.993006993006993,0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus,0.23112410296387,0.995901851319162,0.00000000000904108305137321,Genus,kmerCon,1,0
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus,0.0524524433459028,0.997772911559053,0.000000000000429858161776866,Genus,kmerCon,0.822194225521929,0.00102978007506221
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Howardella,0.038330423213367,0.996680636891477,0.00000000000315587811517961,Genus,kmerCon,0.897095801179575,0.0000762847605088418
Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Fastidiosipila,2.56821121334227,0.999674075335231,0.0000000000000000289468141769461,Genus,kmerCon,0.917124745228426,0.0000267561316869066
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus,0.553075819385847,0.999963350395456,0.000000000000000000000520679523607969,Genus,kmerCon,0.971216974392189,0.000000148246341443903
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Finegoldia,0.693437251405806,0.999995969973295,0.00000000000000000000000000837119127315771,Genus,kmerCon,0.981716922509758,0.0000000156033214885747
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus,2.92568622628665,0.99972453829888,0.0000000000000000124841015278814,Genus,kmerCon,0.96440133247001,0.000000424107546498037
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister,3.26239633350848,0.999762986389499,0.00000000000000000588769669123675,Genus,kmerCon,0.928972696368933,0.0000126258128371885
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Megasphaera,9.02962110497426,0.99997340514314,0.000000000000000000000104765815583151,Genus,kmerCon,0.825753507883496,0.000936687975640402
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia,0.736673324972856,0.999865347329163,0.00000000000000000034852020069724,Genus,kmerCon,0.903107323012848,0.0000570492014977976
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium,0.00934421985969395,0.552355752880131,0.0625641469961706,Genus,kmerCon,0.456821683801584,0.135449958267465
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter,0.00353845999891143,0.870024740052559,0.000233925366149352,Genus,kmerCon,0.591820806741359,0.0426445720200857
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella bivia,0.33074625381047,0.999238175656682,0.00000000000000201824221290486,Species,kmerCon,0.929871848232507,0.0000118648817585511
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus,36.81133902657,0.999982912398268,0.0000000000000000000000114721220810118,Species,kmerCon,0.922558087917238,0.0000192413440702281
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus gasseri,8.1626536880037,0.999999905400377,0.0000000000000000000000000000000000596619604299672,Species,kmerCon,0.888971652509939,0.000109979794946543
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus jensenii,0.847793476246554,0.998997673524432,0.00000000000000795373149627485,Species,kmerCon,0.937155733891234,0.00000694286177556402
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus epidermidis,0.0305908332963482,0.99406583189151,0.0000000000573785584645307,Species,kmerCon,0.671819534695189,0.0167217291703436
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Finegoldia;Finegoldia magna,0.693437251405806,0.999995969973295,0.00000000000000000000000000837119127315771,Species,kmerCon,0.981716922509758,0.0000000156033214885747
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;Sneathia amnii,0.703074616724282,0.999889371574036,0.000000000000000000130468044003154,Species,kmerCon,0.903107323012848,0.0000570492014977976
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter;Moraxella osloensis,0.00353845999891143,0.870024740052559,0.000233925366149352,Species,kmerCon,0.591820806741359,0.0426445720200857
OTU_238,0.38980809103302,0.875427982753174,0.000190978811749473,OTU,miniCon,0.793782134264082,0.00205341498228112
OTU_133,0.287170438984654,0.860203330955726,0.000330953401189217,OTU,miniCon,0.650616509271326,0.0219614632920272
OTU_108,1.32747027120578,0.987700544662686,0.00000000217148285840001,OTU,miniCon,0.943435701034159,0.00000414546566015343
OTU_215,0.0365737624293427,0.962790969478576,0.000000527675682048889,OTU,miniCon,0.793782134264082,0.00205341498228112
OTU_103,0.113097894748404,0.387717888977837,0.213018228427703,OTU,miniCon,0.860869565217391,0.000323521034020667
OTU_178,0.76862528922503,0.997285490106899,0.00000000000115542527125409,OTU,miniCon,0.855502225579229,0.000387250971991399
OTU_60,0.25045320760297,0.999158243611506,0.00000000000000332332861405736,OTU,miniCon,0.769986783739147,0.00339504529789018
OTU_255,0.128238715854706,0.877522098234015,0.000176100865628728,OTU,miniCon,0.746327767541772,0.00530407667882729
OTU_202,0.0606687077088238,0.56613398933317,0.0549991248525609,OTU,miniCon,0.687296583476201,0.0135240609301796
OTU_225,0.0379761403731201,0.99810157249339,0.000000000000193573555350407,OTU,miniCon,0.897095801179575,0.0000762847605088418
OTU_198,0.0420592118470924,0.897347089031752,0.0000753907238618791,OTU,miniCon,0.927876964248747,0.0000136046519233882
OTU_85,0.117344249079773,0.777750450445104,0.00290019972410948,OTU,miniCon,0.86280666767835,0.000302646908081175
OTU_45,0.188410028441069,0.947432776184865,0.00000289328293275311,OTU,miniCon,1,0
OTU_32,0.00807713085000186,0.997833099558934,0.000000000000374866170681128,OTU,miniCon,1,0
OTU_83,0.129068467588376,0.989166377605795,0.0000000011541471293112,OTU,miniCon,0.953635302332643,0.00000156073223628736
OTU_26,0.304334902691578,0.985086703909151,0.00000000566621953056728,OTU,miniCon,0.871434734355133,0.000222057357215692
OTU_179,0.0378441992365511,0.992661981387435,0.000000000165510570827285,OTU,miniCon,0.634496227212123,0.0266776480706264
OTU_50,2.17715903655403,0.996850793748286,0.00000000000242647179377016,OTU,miniCon,0.937155733891234,0.00000694286177556402
OTU_119,0.231180770790215,0.96639023835586,0.000000319222331702434,OTU,miniCon,0.956521739130435,0.00000113730676649648
OTU_63,1.45127504363611,0.954983264662566,0.00000134975253294269,OTU,miniCon,0.91370016391542,0.0000325677566343196
OTU_79,1.07904775499939,0.273530400161214,0.3896473178238,OTU,miniCon,0.650169336983464,0.02208343129358
OTU_107,0.669259406139891,0.891135278513172,0.00010004916860422,OTU,miniCon,0.832841742329984,0.000770722100373217
OTU_46,0.804085155815337,0.487855146348466,0.107619972520418,OTU,miniCon,0.928400869145169,0.0000131294351371488
OTU_117,0.661632477159605,0.574229697593487,0.0508655972685739,OTU,miniCon,0.895254215856215,0.0000830935869283585
OTU_102,3.62313659738117,0.931218792744025,0.0000107932384076086,OTU,miniCon,0.865577661654414,0.000274626690732244
OTU_28,13.2966737699276,0.928940871214848,0.0000126534346124134,OTU,miniCon,0.790160684267828,0.00222554071797828
OTU_278,0.436312029889605,0.856217094962665,0.000378242435513316,OTU,miniCon,0.848135572916414,0.000490138201485267
OTU_93,0.0208758883627864,0.769128200158231,0.00345346969825319,OTU,miniCon,0.848244049630192,0.000488483852386547
OTU_219,3.78933549080338,0.99789541881516,0.000000000000324007469316498,OTU,miniCon,0.877387678412565,0.000177027751207436
OTU_97,0.0035019689061426,0.958455053831153,0.000000908929440690628,OTU,miniCon,0.844368037466359,0.00055034757276887
OTU_54,1.63135883420541,0.933435583477392,0.00000919729930527961,OTU,miniCon,0.874906554888248,0.000194831571229523
OTU_41,1.26334918579635,0.992439656352959,0.000000000192078161940067,OTU,miniCon,0.923501621917326,0.0000181267398959343
OTU_312,2.54252986229838,0.717507745080066,0.00861162970277708,OTU,miniCon,0.835848226545022,0.000707632639277555
OTU_87,1.11871593786749,0.640120501310547,0.0249563222734767,OTU,miniCon,0.791974832590673,0.00213799099094997
OTU_49,0.666887154068874,0.984490494637223,0.00000000688621957607776,OTU,miniCon,0.943435701034159,0.00000414546566015343
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium,0.36592195320568,0.999881222329439,0.000000000000000000186139526621796,Genus,miniCon,0.981716922509758,0.0000000156033214885747
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella,1.38834995156921,0.999911256658453,0.0000000000000000000433376357459744,Genus,miniCon,0.943435701034159,0.00000414546566015343
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus,4.09782594631366,0.999982100717656,0.0000000000000000000000144682398529098,Genus,miniCon,1,0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus,67.1503432741892,0.999986803509333,0.00000000000000000000000315161591730777,Genus,miniCon,0.993006993006993,0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus,0.231065480652308,0.997989139747176,0.000000000000258050048274764,Genus,miniCon,1,0
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus,0.0536064266752422,0.998765015945929,0.0000000000000225768418768544,Genus,miniCon,0.84354991969133,0.000564147641099531
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Howardella,0.0379761403731201,0.99810157249339,0.000000000000193573555350407,Genus,miniCon,0.897095801179575,0.0000762847605088418
Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Fastidiosipila,2.57132926627687,0.999898350610747,0.0000000000000000000854477935278721,Genus,miniCon,0.903107323012848,0.0000570492014977976
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus,0.551385836125769,0.999969963999595,0.000000000000000000000192503809872639,Genus,miniCon,0.971216974392189,0.000000148246341443903
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Finegoldia,0.692679371393229,0.999998372038302,0.0000000000000000000000000000900472177055507,Genus,miniCon,0.981716922509758,0.0000000156033214885747
