taxonomy,SRR14307903,SRR14307904,SRR14307905,SRR14307906,SRR14307907,SRR14307908,SRR14307909,SRR14307914,SRR14307923,SRR14307924,SRR14307925,SRR14307926,mean
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus,0.020481699222454,0.0106230340488935,95.0090989839468,0.0338230917011662,98.4962482981707,99.8044328552803,0.0506098486765525,97.7638900525883,0.0121821498820411,0.0113764615592975,50.0422355669549,0.0159275757715883,36.7725774681502
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus iners,6.01251659396928,15.8367363832018,0.00920730518425442,34.2925562139784,0.0102365670648691,NA,0.0140150350181222,0.0123215227430667,54.0673524325673,0.00884835899056476,46.3439357405047,99.0088937527938,23.2378745369106
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;Aerococcus christensenii,15.5342309880523,0.978836708790906,NA,29.7318505289932,NA,NA,NA,NA,2.86102246863839,0.422193128978376,NA,NA,9.90562676469063
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus gasseri,NA,0.00386292147232493,NA,0.261114267933003,0.0522064920308325,0.0351017952060977,97.08954439457,0.00936435728473068,0.0998342039113615,0.00433389011782764,0.0967578442966626,0.00616551320190514,9.76582856800247
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;Peptoniphilus coxii,NA,NA,NA,7.69948859485348,NA,NA,NA,NA,NA,0.00523678389237506,NA,NA,3.85236268937293
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella amnii,NA,NA,NA,NA,NA,NA,NA,NA,2.72583031750842,NA,NA,NA,2.72583031750842
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;Peptoniphilus lacrimalis,NA,3.61293526847304,NA,NA,NA,NA,NA,NA,0.186892006726924,3.73057649767505,NA,NA,2.51013459095834
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus jensenii,NA,NA,NA,4.87458397597208,1.16389767527562,NA,NA,1.85217129873778,NA,NA,2.12304116559926,NA,2.50342352889618
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus;Anaerococcus lactolyticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38959866371721,NA,NA,2.38959866371721
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;Dialister micraerophilus,0.402806751374929,2.07231940842117,0.43166013128534,3.44724950618286,NA,NA,NA,NA,0.73657437945317,3.38476818202339,NA,NA,1.74589639312348
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;Sneathia amnii,0.0136544661483027,6.37395839081728,NA,NA,NA,NA,NA,NA,0.0499171019556807,1.8296239447429,0.00819114025791853,NA,1.65506900878442
Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella;Gemella asaccharolytica,0.020481699222454,3.4803542850836,NA,NA,NA,NA,NA,NA,0.547602493478093,2.20667238499391,NA,NA,1.56377771569451
Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter ureolyticus,NA,0.00620826665195078,NA,NA,NA,NA,NA,NA,0.0074281401719763,6.05209697079139,NA,0.0292861877090494,1.52375489133109
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium nucleatum,NA,0.001793499255008,NA,NA,NA,NA,NA,NA,NA,2.96022752923119,NA,NA,1.4810105142431
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Criibacterium;Criibacterium bergeronii,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43217010518712,NA,NA,1.43217010518712
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella disiens,NA,0.0645659731802881,NA,NA,NA,NA,NA,NA,NA,2.73612929438852,NA,NA,1.4003476337844
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella timonensis,NA,3.65735886540478,NA,0.0689991070703791,NA,NA,NA,NA,0.340505945483394,1.25375829533655,NA,NA,1.33015555332378
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Finegoldia;Finegoldia magna,0.0356533282761236,0.0220738369847139,0.0828657466582898,7.7116649078659,NA,NA,NA,NA,0.221655702731773,0.113042300573338,NA,0.106355102732864,1.184758703689
