taxonomy,SRR14307903,SRR14307904,SRR14307905,SRR14307906,SRR14307907,SRR14307908,SRR14307909,SRR14307914,SRR14307923,SRR14307924,SRR14307925,SRR14307926,mean,hit_cover,taxonomy_level
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus iners,6.01251659396928,15.8367363832018,0.00920730518425442,34.2925562139784,0.0102365670648691,0,0.0140150350181222,0.0123215227430667,54.0673524325673,0.00884835899056476,46.3439357405047,99.0088937527938,21.301384992168,TRUE,Species
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;Aerococcus christensenii,15.5342309880523,0.978836708790906,0,29.7318505289932,0,0,0,0,2.86102246863839,0.422193128978376,0,0,4.12734448528776,TRUE,Species
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;Dialister micraerophilus,0.402806751374929,2.07231940842117,0.43166013128534,3.44724950618286,0,0,0,0,0.73657437945317,3.38476818202339,0,0,0.872948196561738,TRUE,Species
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;Peptoniphilus coxii,0,0,0,7.69948859485348,0,0,0,0,0,0.00523678389237506,0,0,0.642060448228821,TRUE,Species
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;Peptoniphilus lacrimalis,0,3.61293526847304,0,0,0,0,0,0,0.186892006726924,3.73057649767505,0,0,0.627533647739585,TRUE,Species
Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella;Gemella asaccharolytica,0.020481699222454,3.4803542850836,0,0,0,0,0,0,0.547602493478093,2.20667238499391,0,0,0.521259238564838,TRUE,Species
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella timonensis,0,3.65735886540478,0,0.0689991070703791,0,0,0,0,0.340505945483394,1.25375829533655,0,0,0.443385184441259,TRUE,Species
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;Peptoniphilus harei,0.00986155888488527,1.65305446719276,0.206351957364761,1.50039234786373,0,0,0,0,0.534528966775415,0.59934088754458,0,0.0210655034398426,0.377049640755498,TRUE,Species
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;Atopobium vaginae,0.886023136734307,2.25484244798852,0,0.119057282788105,0,0,0.0393199593563984,0,0.728254862460557,0.0870389598663717,0,0,0.342878054099522,TRUE,Species
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella disiens,0,0.0645659731802881,0,0,0,0,0,0,0,2.73612929438852,0,0,0.2333912722974,TRUE,Species
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella amnii,0,0,0,0,0,0,0,0,2.72583031750842,0,0,0,0.227152526459035,TRUE,Species
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus;Anaerococcus lactolyticus,0,0,0,0,0,0,0,0,0,2.38959866371721,0,0,0.199133221976434,TRUE,Species
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus;Anaerococcus hydrogenalis,0,0,0.187395740808943,1.48956895851936,0,0,0,0,0,0.00252810256873279,0,0.0688482307546074,0.145695086054304,TRUE,Species
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Criibacterium;Criibacterium bergeronii,0,0,0,0,0,0,0,0,0,1.43217010518712,0,0,0.119347508765594,FALSE,Species
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;Peptoniphilus koenoeneniae,0,0.360355388775454,0,0,0,0,0,0,0,1.02008938648368,0,0,0.115037064604928,TRUE,Species
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;Peptoniphilus urinimassiliensis,0,0,0,0,0,0,0,0,0,1.0318270055528,0,0,0.0859855837960664,TRUE,Species
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella corporis,0,0,0,0,0,0,0,0,0,0.856846192045506,0,0,0.0714038493371255,TRUE,Species
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccalis,0.226057272899678,0.408503945698361,0,0,0,0,0,0,0.0273355558328728,0.180217597399666,0,0,0.0701761976525481,TRUE,Species
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 7;Prevotella 7 veroralis,0,0,0,0.653462131666531,0,0,0,0,0,0,0,0,0.0544551776388776,FALSE,Species
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Peptococcus;Peptococcus niger,0,0,0,0,0,0,0,0,0,0.472755180353031,0,0,0.0393962650294193,TRUE,Species
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;Sneathia sanguinegens,0,0.0131063407096739,0,0,0,0,0,0,0.387748916977163,0,0,0,0.0334046048072364,TRUE,Species
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus;Anaerococcus tetradius,0.236677413237246,0.0555984769052481,0,0,0,0,0,0,0.0632877542652381,0,0,0,0.0296303037006444,TRUE,Species
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus helveticus,0,0,0.0812409280963626,0,0.0731914545138142,0.0702035904121954,0,0.0842792155625761,0,0,0.0394198624912329,0,0.0290279209230151,FALSE,Species
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;Peptoniphilus obesi,0,0,0,0,0,0,0,0,0,0.169924608369825,0,0,0.0141603840308188,TRUE,Species
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;Peptoniphilus asaccharolyticus,0,0.0332487169582253,0,0.0811754200827989,0,0,0,0,0.0124792754889202,0.0308789670895219,0,0,0.0131485316349555,TRUE,Species
