region,type,pct,data,consensus
hp+,mismatch,0.0489,pb_ccs,isoCon
hp+,insertion,0.0213,pb_ccs,isoCon
hp+,deletion,0.1087,pb_ccs,isoCon
hp+,total,0.179,pb_ccs,isoCon
hp-,mismatch,0.0471,pb_ccs,isoCon
hp-,insertion,0.0194,pb_ccs,isoCon
hp-,deletion,0.0125,pb_ccs,isoCon
hp-,total,0.079,pb_ccs,isoCon
all,mismatch,0.0474,pb_ccs,isoCon
all,insertion,0.0197,pb_ccs,isoCon
all,deletion,0.0296,pb_ccs,isoCon
all,total,0.0968,pb_ccs,isoCon
hp+,mismatch,0.0701,pb_ccs,kmerCon
hp+,insertion,0.0151,pb_ccs,kmerCon
hp+,deletion,0.0065,pb_ccs,kmerCon
hp+,total,0.0917,pb_ccs,kmerCon
hp-,mismatch,0.0693,pb_ccs,kmerCon
hp-,insertion,0.0324,pb_ccs,kmerCon
hp-,deletion,0.0139,pb_ccs,kmerCon
hp-,total,0.1155,pb_ccs,kmerCon
all,mismatch,0.0694,pb_ccs,kmerCon
all,insertion,0.0293,pb_ccs,kmerCon
all,deletion,0.0125,pb_ccs,kmerCon
all,total,0.1113,pb_ccs,kmerCon
hp+,mismatch,0.0396,pb_ccs,miniCon
hp+,insertion,0.0077,pb_ccs,miniCon
hp+,deletion,0.0005,pb_ccs,miniCon
hp+,total,0.0478,pb_ccs,miniCon
hp-,mismatch,0.0365,pb_ccs,miniCon
hp-,insertion,0.0052,pb_ccs,miniCon
hp-,deletion,0.0046,pb_ccs,miniCon
hp-,total,0.0464,pb_ccs,miniCon
all,mismatch,0.037,pb_ccs,miniCon
all,insertion,0.0057,pb_ccs,miniCon
all,deletion,0.0039,pb_ccs,miniCon
all,total,0.0466,pb_ccs,miniCon
hp+,mismatch,0.0229,pb_ccs,umiCon
hp+,insertion,0.0041,pb_ccs,umiCon
hp+,deletion,0.0022,pb_ccs,umiCon
hp+,total,0.0292,pb_ccs,umiCon
hp-,mismatch,0.0148,pb_ccs,umiCon
hp-,insertion,0.0052,pb_ccs,umiCon
hp-,deletion,0.002,pb_ccs,umiCon
hp-,total,0.0221,pb_ccs,umiCon
all,mismatch,0.0163,pb_ccs,umiCon
all,insertion,0.005,pb_ccs,umiCon
all,deletion,0.002,pb_ccs,umiCon
all,total,0.0233,pb_ccs,umiCon
hp+,mismatch,0.2626,zymock_r10,isoCon
hp+,insertion,0.0171,zymock_r10,isoCon
hp+,deletion,0.2183,zymock_r10,isoCon
hp+,total,0.4979,zymock_r10,isoCon
hp-,mismatch,0.205,zymock_r10,isoCon
hp-,insertion,0.0292,zymock_r10,isoCon
hp-,deletion,0.0553,zymock_r10,isoCon
hp-,total,0.2896,zymock_r10,isoCon
all,mismatch,0.2152,zymock_r10,isoCon
all,insertion,0.0271,zymock_r10,isoCon
all,deletion,0.0843,zymock_r10,isoCon
all,total,0.3266,zymock_r10,isoCon
