region,type,pct,data,consensus
hp+,mismatch,0.0092,pb_ccs,isoCon
hp+,insertion,0.0003,pb_ccs,isoCon
hp+,deletion,0.1002,pb_ccs,isoCon
hp+,total,0.1097,pb_ccs,isoCon
hp-,mismatch,0.0054,pb_ccs,isoCon
hp-,insertion,0.0039,pb_ccs,isoCon
hp-,deletion,0.0001,pb_ccs,isoCon
hp-,total,0.0094,pb_ccs,isoCon
all,mismatch,0.0061,pb_ccs,isoCon
all,insertion,0.0033,pb_ccs,isoCon
all,deletion,0.0179,pb_ccs,isoCon
all,total,0.0272,pb_ccs,isoCon
hp+,mismatch,0.0136,pb_ccs,kmerCon
hp+,insertion,0,pb_ccs,kmerCon
hp+,deletion,0.001,pb_ccs,kmerCon
hp+,total,0.0145,pb_ccs,kmerCon
hp-,mismatch,0.0055,pb_ccs,kmerCon
hp-,insertion,0.0002,pb_ccs,kmerCon
hp-,deletion,0.0009,pb_ccs,kmerCon
hp-,total,0.0066,pb_ccs,kmerCon
all,mismatch,0.0069,pb_ccs,kmerCon
all,insertion,0.0002,pb_ccs,kmerCon
all,deletion,0.0009,pb_ccs,kmerCon
all,total,0.008,pb_ccs,kmerCon
hp+,mismatch,0.0195,pb_ccs,miniCon
hp+,insertion,0.001,pb_ccs,miniCon
hp+,deletion,0.0035,pb_ccs,miniCon
hp+,total,0.024,pb_ccs,miniCon
hp-,mismatch,0.0161,pb_ccs,miniCon
hp-,insertion,0.0031,pb_ccs,miniCon
hp-,deletion,0.002,pb_ccs,miniCon
hp-,total,0.0211,pb_ccs,miniCon
all,mismatch,0.0167,pb_ccs,miniCon
all,insertion,0.0027,pb_ccs,miniCon
all,deletion,0.0022,pb_ccs,miniCon
all,total,0.0216,pb_ccs,miniCon
hp+,mismatch,0.0171,pb_ccs,umiCon
hp+,insertion,0.0001,pb_ccs,umiCon
hp+,deletion,0.0004,pb_ccs,umiCon
hp+,total,0.0176,pb_ccs,umiCon
hp-,mismatch,0.0088,pb_ccs,umiCon
hp-,insertion,0.0001,pb_ccs,umiCon
hp-,deletion,0.0001,pb_ccs,umiCon
hp-,total,0.009,pb_ccs,umiCon
all,mismatch,0.0103,pb_ccs,umiCon
all,insertion,0.0001,pb_ccs,umiCon
all,deletion,0.0001,pb_ccs,umiCon
all,total,0.0106,pb_ccs,umiCon
hp+,mismatch,0.2525,zymock_r10,isoCon
hp+,insertion,0.015,zymock_r10,isoCon
hp+,deletion,0.2164,zymock_r10,isoCon
hp+,total,0.4838,zymock_r10,isoCon
hp-,mismatch,0.1942,zymock_r10,isoCon
hp-,insertion,0.0275,zymock_r10,isoCon
hp-,deletion,0.0527,zymock_r10,isoCon
hp-,total,0.2744,zymock_r10,isoCon
all,mismatch,0.2045,zymock_r10,isoCon
all,insertion,0.0252,zymock_r10,isoCon
all,deletion,0.0818,zymock_r10,isoCon
all,total,0.3116,zymock_r10,isoCon
hp+,mismatch,2.2862,zymock_r10,kmerCon
hp+,insertion,0.8396,zymock_r10,kmerCon
hp+,deletion,0.1292,zymock_r10,kmerCon
hp+,total,3.255,zymock_r10,kmerCon
hp-,mismatch,1.0364,zymock_r10,kmerCon
hp-,insertion,0.5351,zymock_r10,kmerCon
hp-,deletion,0.0282,zymock_r10,kmerCon
hp-,total,1.5996,zymock_r10,kmerCon
all,mismatch,1.2601,zymock_r10,kmerCon
all,insertion,0.5896,zymock_r10,kmerCon
all,deletion,0.0462,zymock_r10,kmerCon
all,total,1.896,zymock_r10,kmerCon
hp+,mismatch,1.1643,zymock_r10,miniCon
hp+,insertion,0.2578,zymock_r10,miniCon
hp+,deletion,0.121,zymock_r10,miniCon
hp+,total,1.543,zymock_r10,miniCon
