region,type,pct,data,consensus
hp+,mismatch,0.0189,pb_ccs,isoCon
hp+,insertion,0.0009,pb_ccs,isoCon
hp+,deletion,0.0705,pb_ccs,isoCon
hp+,total,0.0902,pb_ccs,isoCon
hp-,mismatch,0.017,pb_ccs,isoCon
hp-,insertion,0.0042,pb_ccs,isoCon
hp-,deletion,0.0015,pb_ccs,isoCon
hp-,total,0.0227,pb_ccs,isoCon
all,mismatch,0.0173,pb_ccs,isoCon
all,insertion,0.0036,pb_ccs,isoCon
all,deletion,0.0138,pb_ccs,isoCon
all,total,0.0347,pb_ccs,isoCon
hp+,mismatch,0.2571,pb_ccs,kmerCon
hp+,insertion,0.0466,pb_ccs,kmerCon
hp+,deletion,0.0302,pb_ccs,kmerCon
hp+,total,0.334,pb_ccs,kmerCon
hp-,mismatch,0.2686,pb_ccs,kmerCon
hp-,insertion,0.0528,pb_ccs,kmerCon
hp-,deletion,0.0482,pb_ccs,kmerCon
hp-,total,0.3696,pb_ccs,kmerCon
all,mismatch,0.2666,pb_ccs,kmerCon
all,insertion,0.0517,pb_ccs,kmerCon
all,deletion,0.045,pb_ccs,kmerCon
all,total,0.3633,pb_ccs,kmerCon
hp+,mismatch,0.2344,pb_ccs,miniCon
hp+,insertion,0.0331,pb_ccs,miniCon
hp+,deletion,0.042,pb_ccs,miniCon
hp+,total,0.3095,pb_ccs,miniCon
hp-,mismatch,0.2377,pb_ccs,miniCon
hp-,insertion,0.038,pb_ccs,miniCon
hp-,deletion,0.0468,pb_ccs,miniCon
hp-,total,0.3225,pb_ccs,miniCon
all,mismatch,0.2371,pb_ccs,miniCon
all,insertion,0.0371,pb_ccs,miniCon
all,deletion,0.046,pb_ccs,miniCon
all,total,0.3202,pb_ccs,miniCon
hp+,mismatch,0.0321,pb_ccs,umiCon
hp+,insertion,0.0082,pb_ccs,umiCon
hp+,deletion,0.0106,pb_ccs,umiCon
hp+,total,0.051,pb_ccs,umiCon
hp-,mismatch,0.0263,pb_ccs,umiCon
hp-,insertion,0.0123,pb_ccs,umiCon
hp-,deletion,0.006,pb_ccs,umiCon
hp-,total,0.0446,pb_ccs,umiCon
all,mismatch,0.0273,pb_ccs,umiCon
all,insertion,0.0116,pb_ccs,umiCon
all,deletion,0.0068,pb_ccs,umiCon
all,total,0.0457,pb_ccs,umiCon
hp+,mismatch,0.2703,zymock_r10,isoCon
hp+,insertion,0.0205,zymock_r10,isoCon
hp+,deletion,0.2348,zymock_r10,isoCon
hp+,total,0.5255,zymock_r10,isoCon
hp-,mismatch,0.2179,zymock_r10,isoCon
hp-,insertion,0.0325,zymock_r10,isoCon
hp-,deletion,0.0537,zymock_r10,isoCon
hp-,total,0.304,zymock_r10,isoCon
all,mismatch,0.2272,zymock_r10,isoCon
all,insertion,0.0304,zymock_r10,isoCon
all,deletion,0.086,zymock_r10,isoCon
all,total,0.3435,zymock_r10,isoCon
hp+,mismatch,1.6552,zymock_r10,kmerCon
hp+,insertion,0.0129,zymock_r10,kmerCon
hp+,deletion,0.2716,zymock_r10,kmerCon
hp+,total,1.9397,zymock_r10,kmerCon
hp-,mismatch,0.3769,zymock_r10,kmerCon
hp-,insertion,0.1181,zymock_r10,kmerCon
hp-,deletion,0.0197,zymock_r10,kmerCon
hp-,total,0.5148,zymock_r10,kmerCon
all,mismatch,0.6053,zymock_r10,kmerCon
all,insertion,0.0993,zymock_r10,kmerCon
all,deletion,0.0647,zymock_r10,kmerCon
all,total,0.7694,zymock_r10,kmerCon
hp+,mismatch,0.7742,zymock_r10,miniCon
hp+,insertion,0.2137,zymock_r10,miniCon
hp+,deletion,0.3918,zymock_r10,miniCon
hp+,total,1.3798,zymock_r10,miniCon
hp-,mismatch,0.2997,zymock_r10,miniCon
hp-,insertion,0.1376,zymock_r10,miniCon
hp-,deletion,0.0844,zymock_r10,miniCon
hp-,total,0.5218,zymock_r10,miniCon
all,mismatch,0.3851,zymock_r10,miniCon
all,insertion,0.1513,zymock_r10,miniCon
all,deletion,0.1398,zymock_r10,miniCon
all,total,0.6762,zymock_r10,miniCon
hp+,mismatch,0.2194,zymock_r10,umiCon
hp+,insertion,0.0566,zymock_r10,umiCon
hp+,deletion,0.5557,zymock_r10,umiCon
hp+,total,0.8316,zymock_r10,umiCon
hp-,mismatch,0.1753,zymock_r10,umiCon
hp-,insertion,0.1152,zymock_r10,umiCon
