region,type,pct,data,consensus
hp+,mismatch,0.0103,pb_ccs,isoCon
hp+,insertion,0,pb_ccs,isoCon
hp+,deletion,0.0581,pb_ccs,isoCon
hp+,total,0.0684,pb_ccs,isoCon
hp-,mismatch,0.0046,pb_ccs,isoCon
hp-,insertion,0.0027,pb_ccs,isoCon
hp-,deletion,0,pb_ccs,isoCon
hp-,total,0.0073,pb_ccs,isoCon
all,mismatch,0.0056,pb_ccs,isoCon
all,insertion,0.0022,pb_ccs,isoCon
all,deletion,0.0103,pb_ccs,isoCon
all,total,0.0181,pb_ccs,isoCon
hp+,mismatch,0.2405,pb_ccs,kmerCon
hp+,insertion,0.0471,pb_ccs,kmerCon
hp+,deletion,0.0267,pb_ccs,kmerCon
hp+,total,0.3143,pb_ccs,kmerCon
hp-,mismatch,0.2505,pb_ccs,kmerCon
hp-,insertion,0.0503,pb_ccs,kmerCon
hp-,deletion,0.0401,pb_ccs,kmerCon
hp-,total,0.3409,pb_ccs,kmerCon
all,mismatch,0.2487,pb_ccs,kmerCon
all,insertion,0.0497,pb_ccs,kmerCon
all,deletion,0.0377,pb_ccs,kmerCon
all,total,0.3361,pb_ccs,kmerCon
hp+,mismatch,0.1895,pb_ccs,miniCon
hp+,insertion,0.0325,pb_ccs,miniCon
hp+,deletion,0.0376,pb_ccs,miniCon
hp+,total,0.2596,pb_ccs,miniCon
hp-,mismatch,0.202,pb_ccs,miniCon
hp-,insertion,0.0336,pb_ccs,miniCon
hp-,deletion,0.0364,pb_ccs,miniCon
hp-,total,0.2721,pb_ccs,miniCon
all,mismatch,0.1998,pb_ccs,miniCon
all,insertion,0.0334,pb_ccs,miniCon
all,deletion,0.0367,pb_ccs,miniCon
all,total,0.2698,pb_ccs,miniCon
hp+,mismatch,0.0172,pb_ccs,umiCon
hp+,insertion,0.0012,pb_ccs,umiCon
hp+,deletion,0.0065,pb_ccs,umiCon
hp+,total,0.0249,pb_ccs,umiCon
hp-,mismatch,0.0093,pb_ccs,umiCon
hp-,insertion,0.0012,pb_ccs,umiCon
hp-,deletion,0.0006,pb_ccs,umiCon
hp-,total,0.0112,pb_ccs,umiCon
all,mismatch,0.0107,pb_ccs,umiCon
all,insertion,0.0012,pb_ccs,umiCon
all,deletion,0.0017,pb_ccs,umiCon
all,total,0.0136,pb_ccs,umiCon
hp+,mismatch,0.2401,zymock_r10,isoCon
hp+,insertion,0.0161,zymock_r10,isoCon
hp+,deletion,0.1945,zymock_r10,isoCon
hp+,total,0.4506,zymock_r10,isoCon
hp-,mismatch,0.181,zymock_r10,isoCon
hp-,insertion,0.0249,zymock_r10,isoCon
hp-,deletion,0.0416,zymock_r10,isoCon
hp-,total,0.2475,zymock_r10,isoCon
all,mismatch,0.1916,zymock_r10,isoCon
all,insertion,0.0233,zymock_r10,isoCon
all,deletion,0.0689,zymock_r10,isoCon
all,total,0.2837,zymock_r10,isoCon
hp+,mismatch,1.6552,zymock_r10,kmerCon
hp+,insertion,0.0129,zymock_r10,kmerCon
hp+,deletion,0.2716,zymock_r10,kmerCon
hp+,total,1.9397,zymock_r10,kmerCon
hp-,mismatch,0.3769,zymock_r10,kmerCon
hp-,insertion,0.1181,zymock_r10,kmerCon
hp-,deletion,0.0197,zymock_r10,kmerCon
hp-,total,0.5148,zymock_r10,kmerCon
all,mismatch,0.6053,zymock_r10,kmerCon
all,insertion,0.0993,zymock_r10,kmerCon
all,deletion,0.0647,zymock_r10,kmerCon
all,total,0.7694,zymock_r10,kmerCon
hp+,mismatch,0.7929,zymock_r10,miniCon
hp+,insertion,0.2284,zymock_r10,miniCon
hp+,deletion,0.3874,zymock_r10,miniCon
hp+,total,1.4087,zymock_r10,miniCon
hp-,mismatch,0.3065,zymock_r10,miniCon
hp-,insertion,0.1217,zymock_r10,miniCon
hp-,deletion,0.084,zymock_r10,miniCon
hp-,total,0.5122,zymock_r10,miniCon
all,mismatch,0.3941,zymock_r10,miniCon
all,insertion,0.1409,zymock_r10,miniCon
all,deletion,0.1386,zymock_r10,miniCon
all,total,0.6736,zymock_r10,miniCon
hp+,mismatch,0.2213,zymock_r10,umiCon
hp+,insertion,0.0567,zymock_r10,umiCon
hp+,deletion,0.5493,zymock_r10,umiCon
hp+,total,0.8273,zymock_r10,umiCon
hp-,mismatch,0.1728,zymock_r10,umiCon
hp-,insertion,0.1145,zymock_r10,umiCon
hp-,deletion,0.1605,zymock_r10,umiCon
hp-,total,0.4478,zymock_r10,umiCon
all,mismatch,0.1814,zymock_r10,umiCon
all,insertion,0.1042,zymock_r10,umiCon
all,deletion,0.2296,zymock_r10,umiCon
all,total,0.5152,zymock_r10,umiCon
hp+,mismatch,0.1073,zymock_r9,isoCon
hp+,insertion,0.105,zymock_r9,isoCon
hp+,deletion,0.3082,zymock_r9,isoCon
hp+,total,0.5206,zymock_r9,isoCon
hp-,mismatch,0.0675,zymock_r9,isoCon
hp-,insertion,0.1907,zymock_r9,isoCon
hp-,deletion,0.1014,zymock_r9,isoCon
hp-,total,0.3596,zymock_r9,isoCon
all,mismatch,0.0746,zymock_r9,isoCon
all,insertion,0.1754,zymock_r9,isoCon
all,deletion,0.1383,zymock_r9,isoCon
all,total,0.3883,zymock_r9,isoCon
hp+,mismatch,0.0768,zymock_r9,kmerCon
hp+,insertion,0.8197,zymock_r9,kmerCon
hp+,deletion,0,zymock_r9,kmerCon
hp+,total,0.8965,zymock_r9,kmerCon
hp-,mismatch,0.0447,zymock_r9,kmerCon
hp-,insertion,0.5554,zymock_r9,kmerCon
hp-,deletion,0.0056,zymock_r9,kmerCon
hp-,total,0.6056,zymock_r9,kmerCon
all,mismatch,0.0504,zymock_r9,kmerCon
all,insertion,0.6027,zymock_r9,kmerCon
all,deletion,0.0046,zymock_r9,kmerCon
all,total,0.6577,zymock_r9,kmerCon
hp+,mismatch,0.1459,zymock_r9,miniCon
hp+,insertion,0.2498,zymock_r9,miniCon
hp+,deletion,0.2357,zymock_r9,miniCon
hp+,total,0.6315,zymock_r9,miniCon
hp-,mismatch,0.1052,zymock_r9,miniCon
hp-,insertion,0.2263,zymock_r9,miniCon
hp-,deletion,0.0455,zymock_r9,miniCon
hp-,total,0.377,zymock_r9,miniCon
all,mismatch,0.1125,zymock_r9,miniCon
all,insertion,0.2305,zymock_r9,miniCon
all,deletion,0.0797,zymock_r9,miniCon
all,total,0.4227,zymock_r9,miniCon
hp+,mismatch,0.0808,zymock_r9,umiCon
hp+,insertion,0.1679,zymock_r9,umiCon
hp+,deletion,0.5358,zymock_r9,umiCon
hp+,total,0.7846,zymock_r9,umiCon
hp-,mismatch,0.0704,zymock_r9,umiCon
hp-,insertion,0.3488,zymock_r9,umiCon
