benchmark,profile,id,depth,asm,consensus,qcov:mean,qcov:sd,tcov:mean,tcov:sd,alnid:mean,alnid:sd,n,pct:alnid >=99
ONT Duplex,even10,9095,40,asm10,isoCon,100,0,100,0,100,0,9,100
ONT Duplex,even10,9095,40,asm10,kmerCon,100,0,100,0,100,0,9,100
ONT Duplex,even10,9095,40,asm10,miniCon,100,0,100,0,100,0,9,100
ONT Duplex,even10,9095,60,asm10,isoCon,100,0,100,0,100,0,19,100
ONT Duplex,even10,9095,60,asm10,kmerCon,100,0,100,0,100,0,19,100
ONT Duplex,even10,9095,60,asm10,miniCon,100,0,100,0,100,0,19,100
ONT Duplex,even10,9095,80,asm10,isoCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9095,80,asm10,kmerCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9095,80,asm10,miniCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9095,100,asm10,isoCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9095,100,asm10,kmerCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9095,100,asm10,miniCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9095,200,asm10,isoCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9095,200,asm10,kmerCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9095,200,asm10,miniCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9095,400,asm10,isoCon,100,0,100,0.01,100,0.01,21,100
ONT Duplex,even10,9095,400,asm10,kmerCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9095,400,asm10,miniCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9597,40,asm10,isoCon,100,0,100,0,100,0,7,100
ONT Duplex,even10,9597,40,asm10,kmerCon,100,0,100,0,100,0,7,100
ONT Duplex,even10,9597,40,asm10,miniCon,100,0,100,0,100,0,7,100
ONT Duplex,even10,9597,60,asm10,isoCon,100,0,100,0,100,0,17,100
ONT Duplex,even10,9597,60,asm10,kmerCon,100,0,100,0,100,0,17,100
ONT Duplex,even10,9597,60,asm10,miniCon,100,0,100,0,100,0,17,100
ONT Duplex,even10,9597,80,asm10,isoCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9597,80,asm10,kmerCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9597,80,asm10,miniCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9597,100,asm10,isoCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9597,100,asm10,kmerCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9597,100,asm10,miniCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9597,200,asm10,isoCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9597,200,asm10,kmerCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9597,200,asm10,miniCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9597,400,asm10,isoCon,100,0,100,0.01,100,0.01,21,100
ONT Duplex,even10,9597,400,asm10,kmerCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9597,400,asm10,miniCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9798,40,asm10,isoCon,100,0,100,0,100,0,8,100
ONT Duplex,even10,9798,40,asm10,kmerCon,100,0,100,0,100,0,8,100
ONT Duplex,even10,9798,40,asm10,miniCon,100,0,100,0,100,0,8,100
ONT Duplex,even10,9798,60,asm10,isoCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9798,60,asm10,kmerCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9798,60,asm10,miniCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9798,80,asm10,isoCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9798,80,asm10,kmerCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9798,80,asm10,miniCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9798,100,asm10,isoCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9798,100,asm10,kmerCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9798,100,asm10,miniCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9798,200,asm10,isoCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9798,200,asm10,kmerCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9798,200,asm10,miniCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9798,400,asm10,isoCon,100,0,99.99,0.03,99.99,0.03,21,100
ONT Duplex,even10,9798,400,asm10,kmerCon,99.94,0.26,99.99,0.04,100,0,20,100
ONT Duplex,even10,9798,400,asm10,miniCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9899,40,asm10,isoCon,100,0,100,0,100,0,8,100
ONT Duplex,even10,9899,40,asm10,kmerCon,100,0,100,0,100,0,8,100
ONT Duplex,even10,9899,40,asm10,miniCon,100,0,100,0,100,0,8,100
ONT Duplex,even10,9899,60,asm10,isoCon,100,0,100,0,100,0,19,100
ONT Duplex,even10,9899,60,asm10,kmerCon,100,0,100,0,100,0,19,100
ONT Duplex,even10,9899,60,asm10,miniCon,100,0,100,0,100,0,19,100
ONT Duplex,even10,9899,80,asm10,isoCon,100,0,100,0,100,0,19,100
ONT Duplex,even10,9899,80,asm10,kmerCon,100,0,100,0,100,0,19,100
ONT Duplex,even10,9899,80,asm10,miniCon,100,0,100,0,100,0,19,100
ONT Duplex,even10,9899,100,asm10,isoCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9899,100,asm10,kmerCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9899,100,asm10,miniCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9899,200,asm10,isoCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9899,200,asm10,kmerCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9899,200,asm10,miniCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9899,400,asm10,isoCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9899,400,asm10,kmerCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,9899,400,asm10,miniCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,99100,40,asm10,isoCon,100,0,100,0,100,0,9,100
ONT Duplex,even10,99100,40,asm10,kmerCon,99.97,0.04,99.97,0.04,99.97,0.04,5,100
ONT Duplex,even10,99100,40,asm10,miniCon,99.97,0.04,99.97,0.04,99.97,0.04,5,100
ONT Duplex,even10,99100,60,asm10,isoCon,100,0,100,0,100,0,19,100
ONT Duplex,even10,99100,60,asm10,kmerCon,99.98,0.03,99.98,0.03,99.98,0.03,6,100
ONT Duplex,even10,99100,60,asm10,miniCon,99.98,0.03,99.98,0.03,99.98,0.03,6,100
ONT Duplex,even10,99100,80,asm10,isoCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,99100,80,asm10,kmerCon,99.98,0.03,99.98,0.03,99.98,0.03,6,100
ONT Duplex,even10,99100,80,asm10,miniCon,99.98,0.03,99.98,0.03,99.98,0.03,6,100
ONT Duplex,even10,99100,100,asm10,isoCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,99100,100,asm10,kmerCon,99.97,0.05,99.97,0.05,99.97,0.05,6,100
ONT Duplex,even10,99100,100,asm10,miniCon,99.97,0.05,99.97,0.05,99.97,0.05,6,100
ONT Duplex,even10,99100,200,asm10,isoCon,100,0,100,0,100,0,20,100
ONT Duplex,even10,99100,200,asm10,kmerCon,99.98,0.03,99.98,0.03,99.98,0.03,11,100
ONT Duplex,even10,99100,200,asm10,miniCon,99.98,0.03,99.98,0.03,99.98,0.03,11,100
ONT Duplex,even10,99100,400,asm10,isoCon,99.99,0.02,99.99,0.03,99.99,0.03,24,100
ONT Duplex,even10,99100,400,asm10,kmerCon,99.98,0.03,99.98,0.03,99.98,0.03,13,100
ONT Duplex,even10,99100,400,asm10,miniCon,99.98,0.03,99.98,0.03,99.98,0.03,13,100
ONT Duplex,skew10,9095,40,asm10,isoCon,100,0,100,0,100,0,4,100
ONT Duplex,skew10,9095,40,asm10,kmerCon,100,0,100,0,100,0,4,100
ONT Duplex,skew10,9095,40,asm10,miniCon,100,0,100,0,100,0,4,100
ONT Duplex,skew10,9095,60,asm10,isoCon,100,0,100,0,100,0,4,100
ONT Duplex,skew10,9095,60,asm10,kmerCon,100,0,100,0,100,0,4,100
ONT Duplex,skew10,9095,60,asm10,miniCon,100,0,100,0,100,0,4,100
