benchmark,profile,id,depth,asm,consensus,alnerr,qcov_un,tcov_un,total_err,n
ONT 2020,even10,5~10%,20,asm10,miniCon,2.61951538965292,3.31599479843953,2.29960578186596,5.93551018809245,1
ONT 2020,even10,5~10%,20,asm10,kmerCon,1.92091198223866,2.0775300103818,5.36574682435392,3.99844199262046,3
ONT 2020,even10,2~3%,20,asm10,miniCon,1.18909973021379,1.38431234269179,1.54605263157894,2.57341207290558,2
ONT 2020,even10,3~5%,20,asm10,kmerCon,0.90624032563633,1.27249515790178,2.26018396846255,2.17873548353811,5
ONT 2020,even10,3~5%,20,asm10,miniCon,1.11621799080761,0.953817606145542,1.05124835742443,2.07003559695315,2
ONT 2020,even10,2~3%,20,asm10,kmerCon,0.731685657627636,1.18957382349234,1.46381578947368,1.92125948111998,4
ONT 2020,skew10,1~2%,20,asm10,kmerCon,0.540175557056045,1.3395847287341,3.21944809461236,1.87976028579014,1
ONT 2020,skew10,3~5%,20,asm10,isoCon,0.200267022696934,1.18968935888962,1.77398160315374,1.38995638158656,1
ONT 2020,skew10,3~5%,20,asm10,miniCon,0.329452765179482,0.988411074228623,1.21550591327201,1.3178638394081,2
ONT 2020,skew10,5~10%,20,asm10,isoCon,0,1.1881188118812,1.64257555847568,1.1881188118812,1
ONT 2020,skew10,3~5%,20,asm10,kmerCon,0.0332019951180271,1.02293971767642,1.47831800262811,1.05614171279445,4
ONT 2020,skew10,2~3%,20,asm10,kmerCon,0.0500112369830887,0.891402016129792,1.80921052631579,0.941413253112881,4
ONT 2020,skew10,5~10%,20,asm10,miniCon,0.0657030223390223,0.593276203032303,0.821287779237842,0.658979225371326,2
ONT 2020,skew10,2~3%,20,asm10,isoCon,0,0.658327847267941,0.723684210526315,0.658327847267941,1
ONT 2020,skew10,5~10%,20,asm10,kmerCon,0.0164257555847556,0.33158395314307,1.69185282522996,0.348009708727826,4
ONT 2020,even10,3~5%,20,asm10,isoCon,0.0657030223390223,0.0657030223390223,0.0657030223390223,0.131406044678045,1
ONT 2020,skew10,2~3%,20,asm10,miniCon,0.0657606376229912,0.0438308130615894,0.0219298245614018,0.109591450684581,3
ONT 2020,even10,3~5%,40,asm10,isoCon,1.77631578947368,2.35448005232179,1.9053876478318,4.13079584179548,1
ONT 2020,even10,3~5%,40,asm10,miniCon,1.51787389474302,1.90569110700643,1.94918966272448,3.42356500174945,3
ONT 2020,even10,2~3%,40,asm10,isoCon,0.135777325186694,1.93333333333334,3.22368421052632,2.06911065852003,1
ONT 2020,even10,2~3%,40,asm10,kmerCon,0.611521150168625,1.3791251738116,1.82894736842105,1.99064632398022,5
ONT 2020,even10,2~3%,40,asm10,miniCon,0.832785448170057,0.767688894779193,0.767543859649119,1.60047434294925,3
ONT 2020,even10,3~5%,40,asm10,kmerCon,0.579895253057305,0.987645177352171,1.30584756898817,1.56754043040948,8
ONT 2020,even10,1~2%,40,asm10,isoCon,0.263678312458808,1.17570215545395,0.591327201051257,1.43938046791276,1
ONT 2020,skew10,3~5%,40,asm10,kmerCon,0.142784762353308,1.10402709921973,1.01839684625493,1.24681186157303,6
ONT 2020,even10,5~10%,40,asm10,kmerCon,0.324567206461503,0.906196036174824,2.03314352460213,1.23076324263633,18
ONT 2020,skew10,1~2%,40,asm10,isoCon,0,1.16883116883116,0,1.16883116883116,1
ONT 2020,skew10,0~1%,40,asm10,isoCon,0,1.16883116883116,0,1.16883116883116,1
ONT 2020,even10,5~10%,40,asm10,miniCon,0.491986357201785,0.650306231259187,0.410643889618925,1.14229258846097,4
ONT 2020,skew10,2~3%,40,asm10,kmerCon,0.198649038241797,0.874645667761946,3.45394736842105,1.07329470600374,6
ONT 2020,skew10,3~5%,40,asm10,isoCon,0.0221190002211908,1.00758248109191,0.919842312746387,1.0297014813131,3
ONT 2020,even10,1~2%,40,asm10,kmerCon,0.269316722998159,0.666338018084826,1.97109067017083,0.935654741082985,4
ONT 2020,skew10,0~1%,40,asm10,kmerCon,0.0875465090829503,0.807841403075353,0.635129215943934,0.895387912158303,3
ONT 2020,skew10,2~3%,40,asm10,isoCon,0.0665784284115318,0.726482629639236,1.31578947368421,0.793061058050768,3
ONT 2020,skew10,5~10%,40,asm10,kmerCon,0.0164907651715041,0.704341257954141,1.82325886990801,0.720832023125645,4
ONT 2020,even10,1~2%,40,asm10,miniCon,0.263095845456988,0.410795080005634,0.42706964520368,0.673890925462622,4
ONT 2020,skew10,5~10%,40,asm10,isoCon,0.183935211796501,0.488871767562006,0.867279894875162,0.672806979358506,5
ONT 2020,even10,0~1%,40,asm10,kmerCon,0.393959290873283,0.19736842105263,0.32851511169514,0.591327711925913,1
ONT 2020,skew10,1~2%,40,asm10,kmerCon,0.0494738515950424,0.459043366755758,0.344940867279892,0.5085172183508,4
ONT 2020,skew10,5~10%,40,asm10,miniCon,0.0328515111695111,0.297029702970299,0.443495400788432,0.32988121413981,4
