qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,ssend,evalue,bitscore,consensus,qcov,Taxon
OTU_1,AB626633.1.1528,99.867,1499,2,0,1,1499,21,1519,0,2758,isoCon,100,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;Dialister micraerophilus
OTU_1,AF473837.1.1440,99.861,1440,2,0,40,1479,1,1440,0,2649,isoCon,100,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;Dialister micraerophilus
OTU_1,AFBB01000028.152.1706,99.867,1499,2,0,1,1499,21,1519,0,2758,isoCon,100,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;Dialister micraerophilus
OTU_2,AB008206.1.1556,99.735,1507,1,2,3,1506,12,1518,0,2758,isoCon,99.8009289980093,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_2,AF243170.1.1508,99.196,1493,6,5,15,1503,1,1491,0,2686,isoCon,99.7320830542532,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_2,AF257096.1.1518,99.6,1499,3,2,11,1506,1,1499,0,2732,isoCon,99.7998665777185,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_2,AF257097.1.1518,99.733,1499,1,2,11,1506,1,1499,0,2743,isoCon,99.7998665777185,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_2,DQ316398.1.1518,99.191,1484,7,4,28,1506,16,1499,0,2669,isoCon,99.6630727762803,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_2,DQ333457.1.1517,99.595,1482,2,3,28,1506,19,1499,0,2700,isoCon,99.7975708502024,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_2,EF120374.1.1550,99.735,1509,1,2,1,1506,9,1517,0,2761,isoCon,99.8011928429423,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
OTU_2,FM874250.1.1516,98.999,1499,12,2,11,1506,1,1499,0,2682,isoCon,99.7998665777185,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
OTU_2,FN692037.445456.447007,99.735,1509,1,2,1,1506,11,1519,0,2761,isoCon,99.8011928429423,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus crispatus
